Quarterly Results,Stockname,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024
Depreciation,EXIDEIND,,106,107,111,116,122,123,127,131,132,141,145,142,144
Profit before tax,EXIDEIND,,69,278,250,4026,280,326,276,256,304,366,281,281,316
Tax %,EXIDEIND,,54%,30%,29%,2%,28%,26%,28%,29%,26%,26%,28%,34%,30%
Net Profit,EXIDEIND,,32,194,178,3953,202,241,198,181,224,270,203,186,221
EPS in Rs,EXIDEIND,,0.39,2.31,2.10,46.58,2.39,2.84,2.34,2.12,2.62,3.17,2.36,2.17,2.59
Raw PDF,EXIDEIND,,,,,,,,,,,,,,
Sales,FINEORG,,358,438,463,617,748,919,760,597,547,540,488,547,550
Expenses,FINEORG,,306,366,384,457,533,665,600,395,407,410,371,403,410
Operating Profit,FINEORG,,51,73,80,159,214,254,159,202,140,130,117,143,139
OPM %,FINEORG,,14%,17%,17%,26%,29%,28%,21%,34%,26%,24%,24%,26%,25%
Other Income,FINEORG,,6,6,7,14,17,19,15,13,14,17,17,22,24
Interest,FINEORG,,1,1,1,1,1,1,1,1,1,1,1,1,1
Depreciation,FINEORG,,10,10,10,11,11,12,12,13,12,14,15,15,12
Profit before tax,FINEORG,,47,68,75,162,219,260,161,201,143,132,119,150,151
Tax %,FINEORG,,23%,27%,31%,25%,27%,22%,34%,26%,30%,22%,21%,24%,25%
Net Profit,FINEORG,,36,50,52,122,160,203,106,149,100,103,94,115,113
EPS in Rs,FINEORG,,11.71,16.27,16.95,39.74,52.12,66.09,34.65,48.74,32.54,33.71,30.73,37.36,36.94
Raw PDF,FINEORG,,,,,,,,,,,,,,
Sales,GMMPFAUDLR,,552,647,642,699,739,780,792,866,912,937,856,741,785
Expenses,GMMPFAUDLR,,516,553,560,628,641,661,674,772,782,795,742,650,697
Operating Profit,GMMPFAUDLR,,36,94,82,72,98,119,118,94,130,142,114,91,89
OPM %,GMMPFAUDLR,,7%,14%,13%,10%,13%,15%,15%,11%,14%,15%,13%,12%,11%
Other Income,GMMPFAUDLR,,1,3,1,1,28,19,-32,15,9,9,-8,11,10
Interest,GMMPFAUDLR,,14,2,6,2,16,9,21,21,20,22,23,30,25
Depreciation,GMMPFAUDLR,,39,39,28,27,27,28,30,36,38,32,36,36,32
Profit before tax,GMMPFAUDLR,,-16,56,50,44,83,101,35,51,80,97,47,36,41
Tax %,GMMPFAUDLR,,18%,30%,24%,60%,26%,4%,46%,35%,38%,27%,40%,19%,42%
Net Profit,GMMPFAUDLR,,-18,39,38,17,61,97,19,33,50,70,28,29,24
EPS in Rs,GMMPFAUDLR,,0.59,7.88,7.25,3.65,10.14,14.45,4.15,7.86,11.27,15.82,6.43,6.91,5.62
Raw PDF,GMMPFAUDLR,,,,,,,,,,,,,,
Sales,GODREJPROP,,86,129,279,1331,245,165,196,1646,936,343,330,1426,739
Expenses,GODREJPROP,,180,230,352,1120,310,275,251,1300,1085,438,397,1303,926
Operating Profit,GODREJPROP,,-93,-100,-73,211,-66,-110,-55,346,-149,-95,-66,123,-187
OPM %,GODREJPROP,,-108%,-78%,-26%,16%,-27%,-66%,-28%,21%,-16%,-28%,-20%,9%,-25%
Other Income,GODREJPROP,,176,205,188,192,182,204,208,284,379,262,218,526,960
Interest,GODREJPROP,,42,41,42,43,34,41,46,54,30,48,43,31,41
Depreciation,GODREJPROP,,5,5,5,6,5,6,6,7,7,7,14,16,17
Profit before tax,GODREJPROP,,36,58,68,354,76,48,101,570,193,111,95,601,716
Tax %,GODREJPROP,,52%,39%,43%,27%,43%,-39%,44%,20%,31%,35%,34%,20%,28%
Net Profit,GODREJPROP,,17,36,39,259,43,67,56,454,134,73,63,478,519
EPS in Rs,GODREJPROP,,0.61,1.29,1.40,9.37,1.64,1.98,2.11,14.82,4.49,2.40,2.24,16.95,18.70
Raw PDF,GODREJPROP,,,,,,,,,,,,,,
Sales,GREENLAM,,336,454,450,463,471,518,504,534,515,604,563,624,605
Expenses,GREENLAM,,298,408,396,414,420,464,449,460,451,528,492,541,541
Operating Profit,GREENLAM,,38,46,53,50,50,54,55,74,64,76,71,84,64
OPM %,GREENLAM,,11%,10%,12%,11%,11%,10%,11%,14%,12%,13%,13%,13%,11%
Other Income,GREENLAM,,2,-0,2,1,2,5,6,4,4,6,3,9,3
Interest,GREENLAM,,3,3,4,3,5,6,6,6,7,9,14,13,14
Depreciation,GREENLAM,,14,14,15,15,15,15,16,17,17,19,24,26,26
Profit before tax,GREENLAM,,22,28,36,33,33,38,38,55,44,53,35,53,27
Tax %,GREENLAM,,23%,25%,25%,22%,25%,23%,26%,16%,24%,26%,29%,23%,26%
Net Profit,GREENLAM,,17,21,27,26,25,29,29,46,33,39,25,41,20
EPS in Rs,GREENLAM,,1.44,1.72,2.23,2.12,2.05,2.30,2.26,3.63,2.61,3.07,1.98,3.21,1.59
Raw PDF,GREENLAM,,,,,,,,,,,,,,
Sales,GREENPANEL,389,308,422,424,470,464,457,420,441,386,399,386,397,
Expenses,GREENPANEL,292,240,309,313,332,332,341,328,365,320,330,325,345,
Operating Profit,GREENPANEL,97,69,113,111,138,132,117,92,76,66,69,60,51,
OPM %,GREENPANEL,25%,22%,27%,26%,29%,28%,26%,22%,17%,17%,17%,16%,13%,
Other Income,GREENPANEL,2,1,2,2,4,7,14,-4,9,6,7,1,7,
Interest,GREENPANEL,-4,11,2,1,3,3,2,11,3,4,2,6,0,
Depreciation,GREENPANEL,17,17,19,18,18,18,18,18,17,18,18,18,18,
Profit before tax,GREENPANEL,86,41,94,94,120,118,110,58,64,50,55,37,40,
Tax %,GREENPANEL,34%,28%,29%,33%,33%,34%,34%,36%,-7%,25%,26%,8%,26%,
Net Profit,GREENPANEL,56,30,67,63,81,78,72,38,69,37,41,35,30,
EPS in Rs,GREENPANEL,4.60,2.43,5.47,5.14,6.57,6.33,5.91,3.06,5.62,3.04,3.34,2.82,2.43,
Raw PDF,GREENPANEL,,,,,,,,,,,,,,
Sales,GRSE,,304,422,487,543,580,682,699,601,756,898,923,1016,1010
Expenses,GRSE,,302,367,435,511,546,634,652,581,710,849,874,925,953
Operating Profit,GRSE,,2,55,52,33,33,48,47,20,46,49,49,91,56
OPM %,GRSE,,1%,13%,11%,6%,6%,7%,7%,3%,6%,5%,5%,9%,6%
Other Income,GRSE,,32,36,44,41,41,41,50,70,71,72,82,76,74
Interest,GRSE,,0,0,-0,1,1,1,1,4,5,2,1,3,4
Depreciation,GRSE,,7,9,10,10,9,10,10,10,10,10,10,10,10
Profit before tax,GRSE,,26,82,86,63,64,79,86,76,102,107,119,153,115
Tax %,GRSE,,22%,28%,27%,25%,22%,25%,26%,28%,25%,25%,26%,27%,24%
Net Profit,GRSE,,21,59,63,47,50,59,64,55,77,81,88,112,87
EPS in Rs,GRSE,,1.80,5.13,5.50,4.12,4.38,5.13,5.58,4.83,6.69,7.05,7.70,9.74,7.61
Raw PDF,GRSE,,,,,,,,,,,,,,
Sales,HAL,,1616,5552,5894,11561,3622,5145,5666,12495,3915,5636,6061,14769,4348
Expenses,HAL,,1376,4311,4467,9061,2796,3523,4680,9262,3039,4108,4626,8867,3357
Operating Profit,HAL,,240,1241,1427,2500,826,1622,985,3232,877,1528,1435,5901,991
OPM %,HAL,,15%,22%,24%,22%,23%,32%,17%,26%,22%,27%,24%,40%,23%
Other Income,HAL,,150,139,195,502,204,261,498,722,414,474,467,569,742
Interest,HAL,,15,1,1,42,0,0,2,55,0,0,0,31,0
Depreciation,HAL,,111,243,373,382,208,252,269,1056,201,350,212,644,149
Profit before tax,HAL,,264,1136,1247,2577,822,1631,1213,2844,1089,1651,1689,5795,1584
Tax %,HAL,,26%,25%,25%,-20%,25%,25%,5%,0%,25%,25%,25%,26%,9%
Net Profit,HAL,,195,847,933,3105,620,1221,1155,2831,814,1237,1262,4309,1437
EPS in Rs,HAL,,2.91,12.66,13.96,46.43,9.27,18.26,17.27,42.33,12.17,18.49,18.86,64.43,21.49
Raw PDF,HAL,,,,,,,,,,,,,,
Sales,HAPPSTMNDS,,245,265,284,301,329,356,367,378,391,407,410,417,464
Expenses,HAPPSTMNDS,,188,204,216,229,242,265,277,286,302,324,329,334,379
Operating Profit,HAPPSTMNDS,,57,61,68,72,87,91,89,92,89,83,81,83,85
OPM %,HAPPSTMNDS,,23%,23%,24%,24%,26%,25%,24%,24%,23%,20%,20%,20%,18%
Other Income,HAPPSTMNDS,,3,10,8,10,1,4,1,8,14,22,25,38,25
Interest,HAPPSTMNDS,,2,2,2,3,3,5,6,9,10,11,11,10,20
Depreciation,HAPPSTMNDS,,7,8,8,9,9,10,10,13,14,15,15,15,22
Profit before tax,HAPPSTMNDS,,51,59,65,70,76,80,75,79,79,79,81,96,68
Tax %,HAPPSTMNDS,,30%,25%,25%,25%,25%,26%,23%,27%,26%,26%,26%,25%,25%
Net Profit,HAPPSTMNDS,,36,44,49,52,56,59,58,58,58,58,60,72,51
EPS in Rs,HAPPSTMNDS,,2.43,3.03,3.33,3.55,3.84,4.05,3.92,3.93,3.97,3.84,3.92,4.73,3.35
Raw PDF,HAPPSTMNDS,,,,,,,,,,,,,,
Sales,HAVELLS,,2610,3238,3664,4426,4244,3679,4128,4859,4834,3900,4414,5442,5806
Expenses,HAVELLS,,2255,2793,3224,3906,3883,3393,3704,4332,4432,3527,3981,4807,5234
Operating Profit,HAVELLS,,355,445,440,520,362,287,424,527,402,373,433,635,572
OPM %,HAVELLS,,14%,14%,12%,12%,9%,8%,10%,11%,8%,10%,10%,12%,10%
Other Income,HAVELLS,,34,33,49,44,48,44,40,47,65,52,56,76,77
Interest,HAVELLS,,11,11,12,19,10,7,7,10,8,9,10,18,9
Depreciation,HAVELLS,,62,62,66,71,72,72,75,77,76,81,88,93,92
Profit before tax,HAVELLS,,317,405,411,474,327,252,381,487,382,335,391,599,549
Tax %,HAVELLS,,26%,25%,26%,26%,26%,26%,26%,26%,25%,26%,26%,25%,26%
Net Profit,HAVELLS,,236,302,306,352,243,187,284,358,287,249,288,447,408
EPS in Rs,HAVELLS,,3.76,4.83,4.88,5.63,3.88,2.98,4.53,5.71,4.58,3.97,4.59,7.13,6.51
Raw PDF,HAVELLS,,,,,,,,,,,,,,
Sales,HCLTECH,,20068,20655,22331,22597,23464,24686,26700,26606,26296,26672,28446,28499,28057
Expenses,HCLTECH,,15006,15633,16938,17545,18489,19261,20335,20743,20931,20743,21659,22382,22264
Operating Profit,HCLTECH,,5062,5022,5393,5052,4975,5425,6365,5863,5365,5929,6787,6117,5793
OPM %,HCLTECH,,25%,24%,24%,22%,21%,22%,24%,22%,20%,22%,24%,21%,21%
Other Income,HCLTECH,,255,240,255,317,409,236,260,453,344,365,370,416,1103
Interest,HCLTECH,,89,83,82,65,64,79,116,94,86,156,140,171,191
Depreciation,HCLTECH,,1128,1078,1136,984,983,998,1137,1027,927,1010,1143,1093,998
Profit before tax,HCLTECH,,4100,4101,4430,4320,4337,4584,5372,5195,4696,5128,5874,5269,5707
Tax %,HCLTECH,,22%,20%,22%,17%,24%,24%,24%,23%,25%,25%,26%,24%,25%
Net Profit,HCLTECH,,3213,3263,3448,3599,3281,3487,4096,3981,3531,3833,4351,3995,4259
EPS in Rs,HCLTECH,,11.81,12.01,12.68,13.24,12.10,12.86,15.09,14.68,13.02,14.12,16.03,14.69,15.69
Raw PDF,HCLTECH,,,,,,,,,,,,,,
Sales,HDFCAMC,,,,,,,545,560,541,575,643,671,695,775
Expenses,HDFCAMC,,,,,,,140,147,130,146,162,162,157,181
Operating Profit,HDFCAMC,,,,,,,404,413,410,428,481,509,539,594
OPM %,HDFCAMC,,,,,,,74%,74%,76%,75%,75%,76%,77%,77%
Other Income,HDFCAMC,,,,,,,104,103,97,158,122,143,156,173
Interest,HDFCAMC,,,,,,,2,2,2,2,2,2,2,2
Depreciation,HDFCAMC,,,,,,,13,13,13,13,13,13,13,13
Profit before tax,HDFCAMC,,,,,,,493,500,492,571,588,637,679,752
Tax %,HDFCAMC,,,,,,,26%,26%,24%,16%,26%,23%,20%,20%
Net Profit,HDFCAMC,,,,,,,364,369,376,477,437,488,541,604
EPS in Rs,HDFCAMC,,,,,,,17.06,17.30,17.63,22.36,20.45,22.86,25.33,28.27
Raw PDF,HDFCAMC,,,,,,,,,,,,,,
Revenue,HDFCBANK,,32254,33520,34588,35574,37274,40930,45002,47548,51168,75039,78008,79434,81546
Interest,HDFCBANK,,14218,14415,14724,15227,16358,18311,20505,22606,25955,41250,43242,43692,44580
Expenses,HDFCBANK,,14073,14698,14423,15044,15021,15915,16682,17770,18470,45349,50530,62938,49690
Financing Profit,HDFCBANK,,3962,4408,5441,5304,5895,6704,7815,7172,6744,-11560,-15764,-27196,-12723
Financing Margin %,HDFCBANK,,12%,13%,16%,15%,16%,16%,17%,15%,13%,-15%,-20%,-34%,-16%
Other Income,HDFCBANK,,6680,7916,8777,8386,6929,8252,9121,9610,9853,32528,37007,44958,35450
Depreciation,HDFCBANK,,0,0,0,0,0,0,0,0,0,0,0,0,0
Profit before tax,HDFCBANK,,10642,12324,14218,13690,12823,14956,16936,16783,16597,20967,21243,17761,22727
Tax %,HDFCBANK,,25%,26%,25%,23%,25%,25%,25%,25%,25%,17%,17%,-1%,24%
Net Profit,HDFCBANK,,7940,9120,10616,10475,9617,11163,12735,12634,12403,17312,17718,18013,17188
EPS in Rs,HDFCBANK,,14.33,16.43,19.11,18.83,17.25,19.97,22.77,22.57,22.12,22.17,22.73,23.20,21.65
Gross NPA %,HDFCBANK,,,,,,,,,,,,,,
Net NPA %,HDFCBANK,,,,,,,,,,,,,,
Raw PDF,HDFCBANK,,,,,,,,,,,,,,
Sales,HDFCLIFE,,14786,20548,14311,17482,6690,23083,19577,20857,23371,23142,26927,28041,26934
Expenses,HDFCLIFE,,14619,20420,14137,17228,6386,22815,19787,21215,23045,23556,26662,27766,26623
Operating Profit,HDFCLIFE,,166,128,174,253,304,268,-210,-358,326,-414,265,275,311
OPM %,HDFCLIFE,,1%,1%,1%,1%,5%,1%,-1%,-2%,1%,-2%,1%,1%,1%
Other Income,HDFCLIFE,,106,164,121,374,74,87,394,882,114,135,102,174,90
Interest,HDFCLIFE,,0,0,0,0,0,0,0,0,0,0,0,0,0
Depreciation,HDFCLIFE,,0,0,0,0,0,0,0,0,0,0,0,0,0
Profit before tax,HDFCLIFE,,272,292,295,628,378,355,184,525,440,-279,367,450,401
Tax %,HDFCLIFE,,1%,6%,7%,19%,4%,7%,-72%,31%,5%,-235%,-0%,8%,-20%
Net Profit,HDFCLIFE,,270,276,275,506,361,329,316,362,417,378,368,412,479
EPS in Rs,HDFCLIFE,,1.33,1.36,1.36,2.40,1.71,1.53,1.47,1.68,1.94,1.76,1.71,1.91,2.23
Raw PDF,HDFCLIFE,,,,,,,,,,,,,,
Sales,HERITGFOOD,,648,670,667,696,821,816,786,818,924,979,941,951,1033
Expenses,HERITGFOOD,,596,607,628,666,799,779,755,778,885,933,891,882,940
Operating Profit,HERITGFOOD,,52,64,39,30,22,38,31,40,39,45,50,69,92
OPM %,HERITGFOOD,,8%,10%,6%,4%,3%,5%,4%,5%,4%,5%,5%,7%,9%
Other Income,HERITGFOOD,,3,-6,3,2,3,3,3,3,3,2,3,5,6
Interest,HERITGFOOD,,1,1,1,1,1,0,0,2,3,2,2,3,3
Depreciation,HERITGFOOD,,13,13,13,13,13,14,14,15,15,15,16,16,17
Profit before tax,HERITGFOOD,,41,43,29,18,11,26,19,26,24,31,36,55,78
Tax %,HERITGFOOD,,26%,25%,28%,29%,31%,28%,28%,31%,29%,27%,25%,26%,25%
Net Profit,HERITGFOOD,,30,33,21,12,7,19,14,18,17,22,27,40,58
EPS in Rs,HERITGFOOD,,3.26,3.53,2.24,1.37,0.78,2.05,1.48,1.93,1.80,2.41,2.90,4.36,6.30
Raw PDF,HERITGFOOD,,,,,,,,,,,,,,
Sales,HEROMOTOCO,,5503,8539,8013,7497,8448,9158,8118,8434,8851,9533,9788,9617,10211
Expenses,HEROMOTOCO,,5119,7516,7030,6661,7527,8096,7177,7345,7734,8174,8403,8298,8804
Operating Profit,HEROMOTOCO,,384,1023,983,836,920,1062,942,1089,1117,1360,1385,1319,1407
OPM %,HEROMOTOCO,,7%,12%,12%,11%,11%,12%,12%,13%,13%,14%,14%,14%,14%
Other Income,HEROMOTOCO,,145,158,140,131,56,94,265,238,66,213,288,177,225
Interest,HEROMOTOCO,,13,14,13,13,14,48,24,19,21,25,23,8,19
Depreciation,HEROMOTOCO,,173,174,174,168,173,173,172,180,180,187,194,197,205
Profit before tax,HEROMOTOCO,,343,993,936,786,789,936,1011,1128,982,1360,1456,1292,1408
Tax %,HEROMOTOCO,,25%,25%,25%,21%,26%,27%,29%,28%,29%,26%,25%,27%,27%
Net Profit,HEROMOTOCO,,256,748,704,621,586,682,721,811,701,1007,1091,943,1032
EPS in Rs,HEROMOTOCO,,12.82,37.32,35.22,30.60,29.55,34.45,36.33,40.29,35.53,50.35,54.70,46.77,52.31
Raw PDF,HEROMOTOCO,,,,,,,,,,,,,,
Sales,HINDUNILVR,,12194,13046,13439,13767,14624,15144,15597,15215,15496,15623,15567,15210,15707
Expenses,HINDUNILVR,,9273,9820,10030,10466,11222,11665,11903,11643,11832,11828,11902,11675,11965
Operating Profit,HINDUNILVR,,2921,3226,3409,3301,3402,3479,3694,3572,3664,3795,3665,3535,3742
OPM %,HINDUNILVR,,24%,25%,25%,24%,23%,23%,24%,23%,24%,24%,24%,23%,24%
Other Income,HINDUNILVR,,39,51,-7,136,121,80,7,240,146,178,184,309,209
Interest,HINDUNILVR,,13,28,27,38,28,28,29,29,50,88,91,105,93
Depreciation,HINDUNILVR,,260,281,272,278,281,272,293,291,286,297,313,320,329
Profit before tax,HINDUNILVR,,2687,2968,3103,3121,3214,3259,3379,3492,3474,3588,3445,3419,3529
Tax %,HINDUNILVR,,22%,26%,26%,26%,26%,18%,27%,26%,26%,26%,27%,25%,26%
Net Profit,HINDUNILVR,,2100,2185,2300,2307,2391,2670,2481,2601,2556,2657,2508,2561,2612
EPS in Rs,HINDUNILVR,,8.92,9.28,9.78,9.81,10.13,11.34,10.53,11.07,10.87,11.30,10.68,10.89,11.11
Raw PDF,HINDUNILVR,,,,,,,,,,,,,,
Sales,HLEGLAS,,124.24,124.02,154.74,249.23,204.42,214.53,214.23,298.34,197.19,224.42,239.23,306.90,227.07
Expenses,HLEGLAS,,100.46,101.67,128.93,211.43,176.41,179.49,188.42,253.98,174.00,197.96,214.55,270.41,205.22
Operating Profit,HLEGLAS,,23.78,22.35,25.81,37.80,28.01,35.04,25.81,44.36,23.19,26.46,24.68,36.49,21.85
OPM %,HLEGLAS,,19.14%,18.02%,16.68%,15.17%,13.70%,16.33%,12.05%,14.87%,11.76%,11.79%,10.32%,11.89%,9.62%
Other Income,HLEGLAS,,1.10,1.02,-4.30,1.10,3.50,2.94,2.47,2.94,0.68,1.52,0.59,1.97,1.78
Interest,HLEGLAS,,2.24,2.28,3.74,4.85,3.86,4.91,5.32,8.95,4.78,5.77,9.70,10.34,9.44
Depreciation,HLEGLAS,,2.17,2.25,2.57,4.23,5.83,5.47,5.61,5.79,5.96,6.07,7.33,6.95,7.26
Profit before tax,HLEGLAS,,20.47,18.84,15.20,29.82,21.82,27.60,17.35,32.56,13.13,16.14,8.24,21.17,6.93
Tax %,HLEGLAS,,30.68%,30.84%,48.95%,21.76%,29.51%,29.82%,29.22%,30.01%,29.17%,33.02%,27.43%,30.04%,21.79%
Net Profit,HLEGLAS,,14.19,13.02,7.76,23.33,15.37,19.37,12.28,22.79,9.29,10.82,5.97,14.80,5.42
EPS in Rs,HLEGLAS,,2.11,1.90,1.13,3.41,2.25,2.84,1.80,3.34,1.36,1.47,0.44,1.45,0.50
Raw PDF,HLEGLAS,,,,,,,,,,,,,,
Sales,HNDFDS,,457,471,527,581,598,662,679,660,619,675,729,731,868
Expenses,HNDFDS,,432,443,498,551,560,620,635,611,569,621,672,670,795
Operating Profit,HNDFDS,,25,28,29,30,38,42,44,49,50,54,57,61,73
OPM %,HNDFDS,,6%,6%,6%,5%,6%,6%,6%,7%,8%,8%,8%,8%,8%
Other Income,HNDFDS,,1,1,1,1,1,2,1,1,1,2,1,3,3
Interest,HNDFDS,,5,5,5,5,7,9,10,10,11,13,15,18,20
Depreciation,HNDFDS,,5,6,6,7,9,10,10,9,11,12,14,18,20
Profit before tax,HNDFDS,,16,18,18,20,23,25,25,31,29,31,29,28,36
Tax %,HNDFDS,,37%,38%,37%,38%,35%,25%,33%,35%,21%,21%,24%,17%,25%
Net Profit,HNDFDS,,10,11,12,12,15,19,17,20,23,25,22,23,27
EPS in Rs,HNDFDS,,0.96,1.03,1.10,1.09,1.32,1.68,1.51,1.79,2.07,2.19,1.95,2.00,2.38
Raw PDF,HNDFDS,,,,,,,,,,,,,,
Revenue,ICICIBANK,,22615,23478,24314,24999,26159,28850,31619,34439,37106,38938,40865,42607,44582
Interest,ICICIBANK,,10068,10093,10372,10634,11089,11997,12978,14479,16368,17908,19409,20424,21122
Expenses,ICICIBANK,,18842,21041,20470,21775,18137,22336,22946,25959,21402,24560,24929,30604,29387
Financing Profit,ICICIBANK,,-6294,-7656,-6528,-7410,-3068,-5483,-4305,-6000,-663,-3530,-3473,-8421,-5927
Financing Margin %,ICICIBANK,,-28%,-33%,-27%,-30%,-12%,-19%,-14%,-17%,-2%,-9%,-8%,-20%,-13%
Other Income,ICICIBANK,,12737,16261,15745,18013,13271,16634,16470,19735,15229,18690,18874,24802,22745
Depreciation,ICICIBANK,,0,0,0,0,0,0,0,0,0,0,0,0,0
Profit before tax,ICICIBANK,,6443,8606,9216,10604,10203,11151,12165,13735,14566,15160,15402,16381,16818
Tax %,ICICIBANK,,26%,24%,24%,24%,25%,25%,25%,25%,24%,25%,25%,26%,26%
Net Profit,ICICIBANK,,4919,6571,6960,8089,7698,8361,9166,10236,11014,11351,11515,12200,12463
EPS in Rs,ICICIBANK,,6.88,8.78,9.41,11.11,10.62,11.49,12.60,14.11,15.20,15.56,15.76,16.62,16.62
Gross NPA %,ICICIBANK,,,,,,,,,,,,,,
Net NPA %,ICICIBANK,,,,,,,,,,,,,,
Raw PDF,ICICIBANK,,,,,,,,,,,,,,
Sales,ICICIGI,,4023,3976,4007,4020,4129,4669,4559,4519,4716,5251,5175,5391,5601
Expenses,ICICIGI,,3775,3388,3598,4391,3684,4095,4105,4874,4206,4507,4638,4701,4831
Operating Profit,ICICIGI,,248,588,409,-371,445,574,454,-355,510,744,537,690,770
OPM %,ICICIGI,,6%,15%,10%,-9%,11%,12%,10%,-8%,11%,14%,10%,13%,14%
Other Income,ICICIGI,,11,6,12,781,20,36,11,928,10,20,37,8,4
Interest,ICICIGI,,0,0,0,0,0,0,0,0,0,0,0,0,0
Depreciation,ICICIGI,,0,0,0,0,0,0,0,0,0,0,0,0,0
Profit before tax,ICICIGI,,258,594,421,410,465,610,465,573,520,764,574,698,774
Tax %,ICICIGI,,25%,25%,25%,24%,25%,3%,24%,24%,25%,24%,25%,26%,25%
Net Profit,ICICIGI,,194,447,318,313,349,591,353,437,390,577,431,520,580
EPS in Rs,ICICIGI,,4.27,9.11,6.47,6.37,7.11,12.02,7.18,8.90,7.95,11.75,8.76,10.54,11.77
Raw PDF,ICICIGI,,,,,,,,,,,,,,
Sales,ICICIPRULI,,16211,23161,9930,13003,-1611,22605,17426,10984,23384,17388,26430,22482,25396
Expenses,ICICIPRULI,,17341,22960,9628,13701,-1483,22869,17502,11400,23663,17682,26584,22755,25362
Operating Profit,ICICIPRULI,,-1130,201,302,-698,-128,-264,-76,-416,-280,-293,-155,-273,34
OPM %,ICICIPRULI,,-7%,1%,3%,-5%,,-1%,-0%,-4%,-1%,-2%,-1%,-1%,0%
Other Income,ICICIPRULI,,914,301,58,1013,328,507,352,780,496,570,420,544,237
Interest,ICICIPRULI,,0,0,0,0,0,0,0,0,0,0,0,0,0
Depreciation,ICICIPRULI,,0,0,0,0,0,0,0,0,0,0,0,0,0
Profit before tax,ICICIPRULI,,-215,502,359,315,201,243,277,364,216,276,265,270,271
Tax %,ICICIPRULI,,-14%,11%,13%,41%,22%,18%,20%,35%,5%,12%,14%,36%,17%
Net Profit,ICICIPRULI,,-185,446,312,187,157,200,222,235,206,244,227,174,224
EPS in Rs,ICICIPRULI,,-1.29,3.10,2.17,1.30,1.09,1.39,1.54,1.64,1.43,1.69,1.58,1.21,1.56
Raw PDF,ICICIPRULI,,,,,,,,,,,,,,
Sales,IDEAFORGE,,,,,,99.27,40.28,7.80,38.66,97.07,23.73,90.90,102.30,86.19
Expenses,IDEAFORGE,,,,,,44.21,33.27,23.97,37.46,68.57,31.59,71.32,87.41,83.73
Operating Profit,IDEAFORGE,,,,,,55.06,7.01,-16.17,1.20,28.50,-7.86,19.58,14.89,2.46
OPM %,IDEAFORGE,,,,,,55.46%,17.40%,-207.31%,3.10%,29.36%,-33.12%,21.54%,14.56%,2.85%
Other Income,IDEAFORGE,,,,,,1.07,2.82,2.30,4.21,3.54,14.91,6.61,5.36,6.00
Interest,IDEAFORGE,,,,,,0.37,0.74,1.15,2.58,2.31,0.69,0.37,0.29,0.27
Depreciation,IDEAFORGE,,,,,,2.67,2.69,3.19,3.31,4.66,5.02,5.67,5.82,6.62
Profit before tax,IDEAFORGE,,,,,,53.09,6.40,-18.21,-0.48,25.07,1.34,20.15,14.14,1.57
Tax %,IDEAFORGE,,,,,,22.30%,37.97%,-57.11%,"1,029.17%",24.73%,32.84%,26.55%,26.87%,25.48%
Net Profit,IDEAFORGE,,,,,,41.25,3.97,-7.80,-5.42,18.86,0.89,14.80,10.33,1.17
EPS in Rs,IDEAFORGE,,,,,,4552.98,438.19,-3.73,-2.54,4.95,0.21,3.45,2.41,0.27
Raw PDF,IDEAFORGE,,,,,,,,,,,,,,
Revenue,IDFCFIRSTB,,4089,4101,4429,4554,4922,5470,5912,6424,6869,7356,7880,8220,8789
Interest,IDFCFIRSTB,,1904,1828,1849,1884,2170,2467,2626,2827,3122,3406,3592,3750,4093
Expenses,IDFCFIRSTB,,3893,2823,2958,3031,2957,3304,3612,3901,4114,4377,4874,5164,5417
Financing Profit,IDFCFIRSTB,,-1708,-550,-378,-361,-205,-301,-326,-303,-367,-427,-587,-694,-721
Financing Margin %,IDFCFIRSTB,,-42%,-13%,-9%,-8%,-4%,-6%,-6%,-5%,-5%,-6%,-7%,-8%,-8%
Other Income,IDFCFIRSTB,,842,730,769,831,856,1061,1152,1398,1364,1410,1517,1642,1574
Depreciation,IDFCFIRSTB,,0,0,0,0,0,0,0,0,0,0,0,0,0
Profit before tax,IDFCFIRSTB,,-865,179,391,470,650,760,827,1094,996,983,930,948,853
Tax %,IDFCFIRSTB,,-28%,38%,26%,25%,25%,25%,25%,25%,27%,24%,21%,23%,25%
Net Profit,IDFCFIRSTB,,-621,111,290,352,485,567,617,816,732,747,732,732,643
EPS in Rs,IDFCFIRSTB,,-1.00,0.18,0.47,0.57,0.78,0.91,0.99,1.23,1.10,1.11,1.04,1.04,0.91
Gross NPA %,IDFCFIRSTB,,,,,,,,,,,,,,
Net NPA %,IDFCFIRSTB,,,,,,,,,,,,,,
Raw PDF,IDFCFIRSTB,,,,,,,,,,,,,,
Sales,INDIGO,,3007,5608,9295,8021,12855,12498,14933,14161,16683,14944,19452,17825,19571
Expenses,INDIGO,,4472,5418,7512,7983,12257,12470,11815,11409,11709,12744,14303,13832,14412
Operating Profit,INDIGO,,-1465,191,1783,38,599,27,3118,2752,4974,2200,5149,3994,5159
OPM %,INDIGO,,-49%,3%,19%,0%,5%,0%,21%,19%,30%,15%,26%,22%,26%
