Profit and Loss,Stockname,TTM,Mar 2010,Sep 2010,Mar 2011,Sep 2011,Mar 2012,Dec 2012,Mar 2013,Jun 2013,Dec 2013,Mar 2014,Jun 2014,Sep 2014,Dec 2014,Mar 2015,Jun 2015,Sep 2015,Dec 2015,Mar 2016,Sep 2016,Dec 2016,Mar 2017,Sep 2017,Dec 2017,Mar 2018,Sep 2018,Dec 2018,Mar 2019,Sep 2019,Dec 2019,Mar 2020,Sep 2020,Dec 2020,Mar 2021,Sep 2021,Dec 2021,Mar 2022,Sep 2022,Dec 2022,Mar 2023,Sep 2023,Dec 2023,Mar 2024
EPS in Rs,JUBLFOOD,6.46,,,,,,,2.01,,,1.81,,,,1.69,,,,1.47,,,0.88,,,2.97,,,4.85,,,4.24,,,3.51,,,6.37,,,5.35,,,6.05
Dividend Payout %,JUBLFOOD,,,,,,,,0%,,,0%,,,,15%,,,,17%,,,29%,,,17%,,,21%,,,28%,,,34%,,,19%,,,22%,,,20%
Sales,KALYANKJIL,19708,,,,,,,,,,,,,,,,,,,,,,,,10505,,,9771,,,10101,,,8573,,,10818,,,14071,,,18548
Expenses,KALYANKJIL,18342,,,,,,,,,,,,,,,,,,,,,,,,9732,,,9151,,,9302,,,7949,,,9965,,,12906,,,17180
Operating Profit,KALYANKJIL,1366,,,,,,,,,,,,,,,,,,,,,,,,774,,,620,,,799,,,624,,,853,,,1165,,,1368
OPM %,KALYANKJIL,7%,,,,,,,,,,,,,,,,,,,,,,,,7%,,,6%,,,8%,,,7%,,,8%,,,8%,,,7%
Other Income,KALYANKJIL,84,,,,,,,,,,,,,,,,,,,,,,,,32,,,42,,,80,,,45,,,38,,,5,,,74
Interest,KALYANKJIL,326,,,,,,,,,,,,,,,,,,,,,,,,390,,,418,,,419,,,405,,,360,,,353,,,379
Depreciation,KALYANKJIL,286,,,,,,,,,,,,,,,,,,,,,,,,202,,,224,,,239,,,225,,,232,,,245,,,274
Profit before tax,KALYANKJIL,838,,,,,,,,,,,,,,,,,,,,,,,,214,,,21,,,221,,,39,,,299,,,572,,,789
Tax %,KALYANKJIL,,,,,,,,,,,,,,,,,,,,,,,,,34%,,,123%,,,36%,,,115%,,,25%,,,24%,,,24%
Net Profit,KALYANKJIL,630,,,,,,,,,,,,,,,,,,,,,,,,141,,,-5,,,142,,,-6,,,224,,,432,,,596
EPS in Rs,KALYANKJIL,6.12,,,,,,,,,,,,,,,,,,,,,,,,1.70,,,-0.04,,,1.70,,,-0.06,,,2.18,,,4.20,,,5.80
Dividend Payout %,KALYANKJIL,,,,,,,,,,,,,,,,,,,,,,,,,0%,,,0%,,,0%,,,0%,,,0%,,,12%,,,21%
Sales,KAYNES,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,,,421,,,706,,,1126,,,1805
Expenses,KAYNES,1731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,325,,,379,,,611,,,956,,,1550
Operating Profit,KAYNES,281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,,,42,,,95,,,170,,,254
OPM %,KAYNES,14%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12%,,,10%,,,13%,,,15%,,,14%
Other Income,KAYNES,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,4,,,4,,,11,,,56
Interest,KAYNES,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,25,,,27,,,36,,,53
Depreciation,KAYNES,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,10,,,13,,,19,,,25
Profit before tax,KAYNES,264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,11,,,59,,,126,,,232
Tax %,KAYNES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17%,,,10%,,,29%,,,24%,,,21%
Net Profit,KAYNES,210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,10,,,42,,,95,,,183
EPS in Rs,KAYNES,33.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.94,,,14.31,,,9.03,,,16.37,,,28.68
Dividend Payout %,KAYNES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0%,,,0%,,,0%,,,0%,,,0%
Sales,KEI,8386,,,,,,,,,,,,,,2033,,,,2351,,,2628,,,3466,,,4231,,,4888,,,4182,,,5727,,,6908,,,8104
Expenses,KEI,7508,,,,,,,,,,,,,,1839,,,,2108,,,2360,,,3126,,,3790,,,4391,,,3726,,,5138,,,6206,,,7267
Operating Profit,KEI,878,,,,,,,,,,,,,,194,,,,243,,,269,,,339,,,441,,,497,,,456,,,589,,,702,,,838
OPM %,KEI,10%,,,,,,,,,,,,,,10%,,,,10%,,,10%,,,10%,,,10%,,,10%,,,11%,,,10%,,,10%,,,10%
Other Income,KEI,55,,,,,,,,,,,,,,5,,,,6,,,10,,,9,,,7,,,17,,,20,,,15,,,32,,,49
Interest,KEI,49,,,,,,,,,,,,,,121,,,,127,,,124,,,112,,,136,,,129,,,57,,,40,,,35,,,44
Depreciation,KEI,62,,,,,,,,,,,,,,25,,,,25,,,28,,,32,,,34,,,57,,,58,,,55,,,57,,,61
Profit before tax,KEI,821,,,,,,,,,,,,,,53,,,,96,,,126,,,204,,,278,,,328,,,361,,,508,,,642,,,781
Tax %,KEI,,,,,,,,,,,,,,,35%,,,,35%,,,26%,,,29%,,,35%,,,22%,,,25%,,,26%,,,26%,,,26%
Net Profit,KEI,610,,,,,,,,,,,,,,34,,,,63,,,94,,,145,,,181,,,256,,,270,,,376,,,477,,,581
EPS in Rs,KEI,67.56,,,,,,,,,,,,,,4.43,,,,8.10,,,12.04,,,18.47,,,22.92,,,28.64,,,29.92,,,41.73,,,52.93,,,64.35
Dividend Payout %,KEI,,,,,,,,,,,,,,,9%,,,,6%,,,5%,,,5%,,,5%,,,5%,,,7%,,,6%,,,6%,,,5%
Revenue,KOTAKBANK,59204,,,,,,,10838,,,11986,,,,13319,,,,20402,,,22324,,,25131,,,29831,,,33474,,,32820,,,33741,,,42151,,,56237
Interest,KOTAKBANK,24538,,,,,,,6024,,,6312,,,,6966,,,,11123,,,11458,,,12467,,,15187,,,15901,,,12967,,,11554,,,14411,,,22567
Expenses,KOTAKBANK,49803,,,,,,,6603,,,7053,,,,9718,,,,11541,,,14832,,,16805,,,19758,,,22578,,,29812,,,30699,,,33485,,,47052
Financing Profit,KOTAKBANK,-15137,,,,,,,-1789,,,-1379,,,,-3366,,,,-2263,,,-3965,,,-4141,,,-5114,,,-5005,,,-9958,,,-8512,,,-5746,,,-13382
Financing Margin %,KOTAKBANK,-26%,,,,,,,-17%,,,-12%,,,,-25%,,,,-11%,,,-18%,,,-16%,,,-17%,,,-15%,,,-30%,,,-25%,,,-14%,,,-24%
Other Income,KOTAKBANK,43225,,,,,,,5112,,,5282,,,,8152,,,,7631,,,11660,,,13682,,,16148,,,16892,,,23588,,,24941,,,25991,,,38037
Depreciation,KOTAKBANK,0,,,,,,,179,,,208,,,,237,,,,345,,,362,,,383,,,458,,,465,,,461,,,480,,,599,,,792
Profit before tax,KOTAKBANK,28088,,,,,,,3144,,,3695,,,,4550,,,,5024,,,7332,,,9158,,,10576,,,11422,,,13168,,,15948,,,19646,,,23863
Tax %,KOTAKBANK,,,,,,,,30%,,,32%,,,,33%,,,,32%,,,32%,,,33%,,,33%,,,25%,,,25%,,,25%,,,25%,,,25%
Net Profit,KOTAKBANK,21511,,,,,,,2238,,,2527,,,,3105,,,,3524,,,5019,,,6258,,,7204,,,8593,,,9990,,,12089,,,14925,,,18213
EPS in Rs,KOTAKBANK,108.23,,,,,,,14.66,,,16.00,,,,19.72,,,,18.86,,,26.84,,,32.54,,,37.74,,,44.92,,,50.41,,,60.91,,,75.13,,,91.62
Dividend Payout %,KOTAKBANK,,,,,,,,2%,,,2%,,,,2%,,,,3%,,,2%,,,2%,,,2%,,,0%,,,2%,,,2%,,,2%,,,2%
Sales,KPIGREEN,1183,,,,,,,,,,,,,,,,,,,,,,,,,,,34,,,59,,,102,,,230,,,644,,,1024
Expenses,KPIGREEN,783,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,32,,,44,,,121,,,435,,,687
Operating Profit,KPIGREEN,400,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,27,,,58,,,109,,,208,,,337
OPM %,KPIGREEN,34%,,,,,,,,,,,,,,,,,,,,,,,,,,,45%,,,46%,,,57%,,,47%,,,32%,,,33%
Other Income,KPIGREEN,6,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,0,,,0,,,1,,,3,,,7
Interest,KPIGREEN,94,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,8,,,16,,,37,,,47,,,86
Depreciation,KPIGREEN,45,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,7,,,13,,,14,,,23,,,40
Profit before tax,KPIGREEN,266,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,12,,,30,,,59,,,142,,,217
Tax %,KPIGREEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,31%,,,46%,,,27%,,,27%,,,23%,,,26%
Net Profit,KPIGREEN,195,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,6,,,22,,,43,,,110,,,162
EPS in Rs,KPIGREEN,16.45,,,,,,,,,,,,,,,,,,,,,,,,,,,0.82,,,0.59,,,2.02,,,3.99,,,10.10,,,13.40
Dividend Payout %,KPIGREEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,0%,,,0%,,,0%,,,4%,,,9%,,,3%
Sales,KPITTECH,5139,,,,,,,,,,,,,,,,,,,,,,,,0,,,641,,,2156,,,2036,,,2432,,,3365,,,4872
Expenses,KPITTECH,4080,,,,,,,,,,,,,,,,,,,,,,,,0,,,550,,,1866,,,1729,,,1981,,,2732,,,3881
Operating Profit,KPITTECH,1058,,,,,,,,,,,,,,,,,,,,,,,,-0,,,92,,,290,,,307,,,451,,,633,,,991
OPM %,KPITTECH,21%,,,,,,,,,,,,,,,,,,,,,,,,,,,14%,,,13%,,,15%,,,19%,,,19%,,,20%
Other Income,KPITTECH,99,,,,,,,,,,,,,,,,,,,,,,,,0,,,1,,,19,,,21,,,32,,,43,,,60
Interest,KPITTECH,54,,,,,,,,,,,,,,,,,,,,,,,,0,,,7,,,20,,,17,,,19,,,32,,,55
Depreciation,KPITTECH,203,,,,,,,,,,,,,,,,,,,,,,,,0,,,19,,,108,,,133,,,120,,,146,,,196
Profit before tax,KPITTECH,901,,,,,,,,,,,,,,,,,,,,,,,,-0,,,67,,,181,,,178,,,345,,,497,,,800
Tax %,KPITTECH,,,,,,,,,,,,,,,,,,,,,,,,,0%,,,18%,,,18%,,,17%,,,20%,,,22%,,,25%
Net Profit,KPITTECH,668,,,,,,,,,,,,,,,,,,,,,,,,-0,,,55,,,148,,,147,,,276,,,387,,,599
EPS in Rs,KPITTECH,24.26,,,,,,,,,,,,,,,,,,,,,,,,-27.00,,,1.98,,,5.38,,,5.33,,,10.00,,,13.90,,,21.69
Dividend Payout %,KPITTECH,,,,,,,,,,,,,,,,,,,,,,,,,0%,,,37%,,,18%,,,28%,,,31%,,,29%,,,31%
Sales,KSCL,1216,,,,,,,711,,,1010,,,,1159,,,,743,,,703,,,818,,,808,,,929,,,1033,,,968,,,1068,,,1148
Expenses,KSCL,912,,,,,,,572,,,789,,,,850,,,,556,,,564,,,597,,,596,,,676,,,735,,,765,,,816,,,863
Operating Profit,KSCL,303,,,,,,,139,,,221,,,,310,,,,188,,,140,,,222,,,212,,,253,,,298,,,203,,,252,,,286
OPM %,KSCL,25%,,,,,,,20%,,,22%,,,,27%,,,,25%,,,20%,,,27%,,,26%,,,27%,,,29%,,,21%,,,24%,,,25%
Other Income,KSCL,61,,,,,,,6,,,10,,,,15,,,,13,,,-25,,,24,,,43,,,46,,,46,,,41,,,55,,,63
Interest,KSCL,0,,,,,,,2,,,0,,,,0,,,,0,,,0,,,1,,,1,,,0,,,1,,,0,,,0,,,0
Depreciation,KSCL,30,,,,,,,12,,,16,,,,15,,,,27,,,30,,,25,,,23,,,26,,,22,,,21,,,21,,,28
Profit before tax,KSCL,334,,,,,,,132,,,214,,,,310,,,,173,,,84,,,220,,,231,,,273,,,321,,,223,,,286,,,321
Tax %,KSCL,,,,,,,,3%,,,2%,,,,3%,,,,3%,,,8%,,,4%,,,6%,,,5%,,,3%,,,4%,,,5%,,,7%
Net Profit,KSCL,316,,,,,,,128,,,209,,,,301,,,,167,,,77,,,211,,,217,,,260,,,311,,,213,,,273,,,300
EPS in Rs,KSCL,60.79,,,,,,,18.70,,,30.42,,,,43.68,,,,24.31,,,11.27,,,31.96,,,34.45,,,42.94,,,51.47,,,36.43,,,48.59,,,58.08
Dividend Payout %,KSCL,,,,,,,,17%,,,16%,,,,17%,,,,10%,,,0%,,,9%,,,9%,,,7%,,,8%,,,11%,,,8%,,,0%
Sales,LALPATHLAB,2288,,,,,,,452,,,558,,,,660,,,,791,,,912,,,1057,,,1203,,,1330,,,1581,,,2087,,,2017,,,2227
Expenses,LALPATHLAB,1654,,,,,,,354,,,419,,,,504,,,,582,,,675,,,793,,,910,,,987,,,1145,,,1526,,,1527,,,1617
Operating Profit,LALPATHLAB,633,,,,,,,98,,,139,,,,156,,,,210,,,238,,,264,,,294,,,344,,,436,,,561,,,490,,,609
OPM %,LALPATHLAB,28%,,,,,,,22%,,,25%,,,,24%,,,,26%,,,26%,,,25%,,,24%,,,26%,,,28%,,,27%,,,24%,,,27%
Other Income,LALPATHLAB,75,,,,,,,3,,,8,,,,12,,,,20,,,27,,,31,,,46,,,55,,,51,,,52,,,42,,,69
Interest,LALPATHLAB,27,,,,,,,0,,,0,,,,0,,,,0,,,1,,,1,,,1,,,15,,,16,,,30,,,38,,,29
Depreciation,LALPATHLAB,143,,,,,,,20,,,27,,,,28,,,,28,,,28,,,33,,,38,,,73,,,77,,,108,,,150,,,144
Profit before tax,LALPATHLAB,538,,,,,,,80,,,119,,,,140,,,,201,,,237,,,261,,,301,,,310,,,394,,,475,,,344,,,505
Tax %,LALPATHLAB,,,,,,,,31%,,,33%,,,,31%,,,,34%,,,34%,,,34%,,,33%,,,27%,,,25%,,,26%,,,30%,,,28%
Net Profit,LALPATHLAB,386,,,,,,,55,,,80,,,,96,,,,133,,,156,,,172,,,200,,,228,,,296,,,350,,,241,,,362
EPS in Rs,LALPATHLAB,45.70,,,,,,,1643.22,,,148.27,,,,17.51,,,,15.99,,,18.61,,,20.49,,,23.90,,,27.11,,,34.99,,,41.37,,,28.65,,,42.85
Dividend Payout %,LALPATHLAB,,,,,,,,9%,,,7%,,,,9%,,,,15%,,,16%,,,22%,,,25%,,,44%,,,57%,,,29%,,,21%,,,42%
Sales,LATENTVIEW,672,,,,,,,33,,,78,,,,,,,,,,,,,,,,,288,,,310,,,306,,,408,,,539,,,641
Expenses,LATENTVIEW,526,,,,,,,21,,,52,,,,,,,,,,,,,,,,,215,,,230,,,201,,,286,,,394,,,504
Operating Profit,LATENTVIEW,146,,,,,,,12,,,26,,,,,,,,,,,,,,,,,73,,,80,,,105,,,122,,,145,,,136
OPM %,LATENTVIEW,22%,,,,,,,36%,,,33%,,,,,,,,,,,,,,,,,25%,,,26%,,,34%,,,30%,,,27%,,,21%
Other Income,LATENTVIEW,73,,,,,,,0,,,1,,,,,,,,,,,,,,,,,8,,,19,,,21,,,44,,,56,,,74
Interest,LATENTVIEW,3,,,,,,,0,,,1,,,,,,,,,,,,,,,,,3,,,3,,,3,,,3,,,3,,,3
Depreciation,LATENTVIEW,10,,,,,,,0,,,2,,,,,,,,,,,,,,,,,7,,,7,,,7,,,8,,,9,,,10
Profit before tax,LATENTVIEW,206,,,,,,,12,,,24,,,,,,,,,,,,,,,,,70,,,90,,,116,,,154,,,189,,,197
Tax %,LATENTVIEW,,,,,,,,34%,,,29%,,,,,,,,,,,,,,,,,15%,,,19%,,,21%,,,16%,,,18%,,,19%
Net Profit,LATENTVIEW,165,,,,,,,8,,,17,,,,,,,,,,,,,,,,,60,,,73,,,91,,,130,,,155,,,159
EPS in Rs,LATENTVIEW,8.03,,,,,,,9.72,,,21.48,,,,,,,,,,,,,,,,,73.85,,,89.79,,,112.43,,,6.46,,,7.59,,,7.70
Dividend Payout %,LATENTVIEW,,,,,,,,-0%,,,-0%,,,,,,,,,,,,,,,,,-0%,,,-0%,,,-0%,,,-0%,,,-0%,,,-0%
Sales,LT,228350,,,,,,,74426,,,85054,,,,91929,,,,101122,,,109312,,,119683,,,135220,,,145452,,,135979,,,156521,,,183341,,,221113
Expenses,LT,198412,,,,,,,63032,,,70968,,,,76245,,,,85637,,,92691,,,99572,,,112354,,,120899,,,112519,,,132207,,,156175,,,191248
Operating Profit,LT,29938,,,,,,,11394,,,14086,,,,15684,,,,15486,,,16620,,,20111,,,22866,,,24553,,,23460,,,24314,,,27166,,,29865
OPM %,LT,13%,,,,,,,15%,,,17%,,,,17%,,,,15%,,,15%,,,17%,,,17%,,,17%,,,17%,,,16%,,,15%,,,14%
Other Income,LT,4027,,,,,,,2523,,,1337,,,,1422,,,,1219,,,1466,,,1465,,,2701,,,3015,,,8111,,,2364,,,2891,,,3847
Interest,LT,9253,,,,,,,4642,,,6494,,,,7266,,,,6899,,,6829,,,7714,,,9339,,,11021,,,11750,,,9235,,,9445,,,9512
Depreciation,LT,3850,,,,,,,1637,,,1446,,,,2623,,,,1787,,,2370,,,2223,,,1923,,,2462,,,2904,,,2948,,,3502,,,3682
Profit before tax,LT,20861,,,,,,,7638,,,7483,,,,7217,,,,8020,,,8887,,,11639,,,14305,,,14086,,,16918,,,14495,,,17109,,,20517
Tax %,LT,,,,,,,,31%,,,35%,,,,31%,,,,30%,,,23%,,,27%,,,28%,,,23%,,,24%,,,29%,,,26%,,,24%
Net Profit,LT,15896,,,,,,,5291,,,4885,,,,4966,,,,4592,,,6486,,,8004,,,10217,,,10894,,,12921,,,10419,,,12531,,,15547
EPS in Rs,LT,97.13,,,,,,,37.69,,,35.41,,,,34.17,,,,30.64,,,43.17,,,52.59,,,63.48,,,68.02,,,82.47,,,61.70,,,74.50,,,95.00
Dividend Payout %,LT,,,,,,,,22%,,,27%,,,,32%,,,,40%,,,22%,,,30%,,,28%,,,26%,,,44%,,,36%,,,32%,,,36%
Sales,LTIM,35958,,,,,,,3851,,,4920,,,,4978,,,,5846,,,6501,,,7306,,,9446,,,10879,,,12370,,,26109,,,33183,,,35517
Expenses,LTIM,29600,,,,,,,2981,,,3773,,,,3973,,,,4819,,,5271,,,6119,,,7562,,,8849,,,9645,,,20860,,,27075,,,29130
Operating Profit,LTIM,6358,,,,,,,870,,,1147,,,,1005,,,,1028,,,1230,,,1187,,,1883,,,2029,,,2725,,,5249,,,6108,,,6387
OPM %,LTIM,18%,,,,,,,23%,,,23%,,,,20%,,,,18%,,,19%,,,16%,,,20%,,,19%,,,22%,,,20%,,,18%,,,18%
Other Income,LTIM,797,,,,,,,22,,,217,,,,99,,,,187,,,187,,,426,,,302,,,329,,,274,,,766,,,557,,,702
Interest,LTIM,248,,,,,,,21,,,31,,,,10,,,,6,,,3,,,16,,,11,,,83,,,79,,,123,,,150,,,222
Depreciation,LTIM,869,,,,,,,123,,,130,,,,158,,,,174,,,178,,,156,,,147,,,273,,,332,,,597,,,723,,,819
Profit before tax,LTIM,6038,,,,,,,749,,,1204,,,,936,,,,1035,,,1236,,,1442,,,2028,,,2003,,,2588,,,5294,,,5792,,,6049
Tax %,LTIM,,,,,,,,25%,,,17%,,,,18%,,,,19%,,,21%,,,23%,,,25%,,,24%,,,25%,,,25%,,,24%,,,24%
Net Profit,LTIM,4567,,,,,,,562,,,996,,,,769,,,,836,,,971,,,1112,,,1516,,,1520,,,1938,,,3950,,,4410,,,4585
EPS in Rs,LTIM,154.17,,,,,,,174.14,,,308.96,,,,238.30,,,,49.25,,,56.91,,,64.65,,,87.37,,,87.30,,,110.79,,,225.27,,,149.02,,,154.72
Dividend Payout %,LTIM,,,,,,,,54%,,,55%,,,,63%,,,,72%,,,29%,,,33%,,,32%,,,32%,,,36%,,,41%,,,40%,,,42%
Sales,LTTS,9808,,,,,,,,,,,,,,2619,,,,3066,,,3248,,,3747,,,5078,,,5619,,,5450,,,6570,,,8816,,,9647
Expenses,LTTS,7885,,,,,,,,,,,,,,2220,,,,2547,,,2663,,,3172,,,4164,,,4509,,,4442,,,5155,,,7055,,,7728
Operating Profit,LTTS,1922,,,,,,,,,,,,,,399,,,,519,,,586,,,576,,,915,,,1110,,,1007,,,1415,,,1761,,,1919
OPM %,LTTS,20%,,,,,,,,,,,,,,15%,,,,17%,,,18%,,,15%,,,18%,,,20%,,,18%,,,22%,,,20%,,,20%
Other Income,LTTS,222,,,,,,,,,,,,,,25,,,,84,,,58,,,193,,,223,,,209,,,154,,,152,,,203,,,207
Interest,LTTS,52,,,,,,,,,,,,,,3,,,,2,,,2,,,2,,,2,,,36,,,46,,,44,,,44,,,51
Depreciation,LTTS,287,,,,,,,,,,,,,,48,,,,59,,,62,,,89,,,104,,,183,,,218,,,214,,,234,,,272
Profit before tax,LTTS,1805,,,,,,,,,,,,,,372,,,,542,,,579,,,678,,,1031,,,1100,,,897,,,1309,,,1686,,,1804
Tax %,LTTS,,,,,,,,,,,,,,,16%,,,,23%,,,27%,,,25%,,,26%,,,25%,,,26%,,,27%,,,28%,,,28%
Net Profit,LTTS,1308,,,,,,,,,,,,,,311,,,,419,,,425,,,507,,,768,,,822,,,666,,,961,,,1216,,,1306
EPS in Rs,LTTS,123.50,,,,,,,,,,,,,,10.36,,,,55.88,,,41.78,,,49.39,,,73.61,,,78.33,,,63.14,,,90.68,,,114.77,,,123.28
Dividend Payout %,LTTS,,,,,,,,,,,,,,,50%,,,,26%,,,29%,,,32%,,,29%,,,27%,,,35%,,,39%,,,39%,,,41%
Sales,LXCHEM,2856,,,,,,,,,,,,,,1074,,,,1047,,,1076,,,1376,,,1569,,,1534,,,1768,,,3084,,,2791,,,2863
Expenses,LXCHEM,2604,,,,,,,,,,,,,,988,,,,966,,,957,,,1222,,,1414,,,1418,,,1548,,,2713,,,2548,,,2605
Operating Profit,LXCHEM,252,,,,,,,,,,,,,,86,,,,80,,,119,,,154,,,155,,,117,,,220,,,371,,,243,,,259
OPM %,LXCHEM,9%,,,,,,,,,,,,,,8%,,,,8%,,,11%,,,11%,,,10%,,,8%,,,12%,,,12%,,,9%,,,9%
Other Income,LXCHEM,34,,,,,,,,,,,,,,1,,,,2,,,2,,,3,,,6,,,30,,,4,,,15,,,18,,,28
Interest,LXCHEM,5,,,,,,,,,,,,,,26,,,,19,,,11,,,12,,,19,,,17,,,19,,,19,,,15,,,9
Depreciation,LXCHEM,112,,,,,,,,,,,,,,30,,,,29,,,28,,,31,,,44,,,49,,,47,,,48,,,72,,,107
Profit before tax,LXCHEM,169,,,,,,,,,,,,,,31,,,,34,,,82,,,113,,,98,,,81,,,158,,,319,,,173,,,171
Tax %,LXCHEM,,,,,,,,,,,,,,,31%,,,,22%,,,13%,,,33%,,,26%,,,13%,,,20%,,,19%,,,28%,,,29%
Net Profit,LXCHEM,117,,,,,,,,,,,,,,21,,,,27,,,72,,,76,,,72,,,70,,,127,,,257,,,125,,,121
EPS in Rs,LXCHEM,4.24,,,,,,,,,,,,,,21.12,,,,26.56,,,71.50,,,75.63,,,14.46,,,15.57,,,4.82,,,9.76,,,4.70,,,4.37
Dividend Payout %,LXCHEM,,,,,,,,,,,,,,,0%,,,,0%,,,0%,,,0%,,,0%,,,11%,,,10%,,,7%,,,11%,,,14%
Sales,M&M,142404,,,,,,,68693,,,74001,,,,71448,,,,75841,,,83773,,,92094,,,104721,,,75382,,,74278,,,90171,,,121269,,,139078
Expenses,M&M,116604,,,,,,,59578,,,63830,,,,62655,,,,65759,,,73038,,,78868,,,89514,,,65224,,,62791,,,75488,,,100983,,,114186
Operating Profit,M&M,25801,,,,,,,9116,,,10170,,,,8793,,,,10082,,,10735,,,13226,,,15207,,,10158,,,11487,,,14683,,,20285,,,24892
OPM %,M&M,18%,,,,,,,13%,,,14%,,,,12%,,,,13%,,,13%,,,14%,,,15%,,,13%,,,15%,,,16%,,,17%,,,18%
Other Income,M&M,3051,,,,,,,841,,,773,,,,800,,,,1399,,,2077,,,4366,,,2676,,,885,,,1152,,,3204,,,3961,,,3298
Interest,M&M,7877,,,,,,,2297,,,2954,,,,3157,,,,3368,,,3648,,,3987,,,5021,,,6021,,,6102,,,5018,,,5830,,,7488
Depreciation,M&M,4844,,,,,,,2080,,,2170,,,,2124,,,,2442,,,2813,,,3280,,,3991,,,3367,,,3378,,,3508,,,4357,,,4724
Profit before tax,M&M,16131,,,,,,,5580,,,5820,,,,4313,,,,5672,,,6350,,,10326,,,8871,,,1655,,,3158,,,9362,,,14060,,,15978
Tax %,M&M,,,,,,,,35%,,,26%,,,,40%,,,,37%,,,36%,,,23%,,,32%,,,119%,,,52%,,,23%,,,19%,,,23%
Net Profit,M&M,12132,,,,,,,4129,,,5154,,,,3381,,,,3554,,,4051,,,7958,,,6017,,,-321,,,1512,,,7253,,,11374,,,12270
EPS in Rs,M&M,88.81,,,,,,,33.38,,,37.89,,,,25.26,,,,25.35,,,29.77,,,60.41,,,42.76,,,1.02,,,14.58,,,52.91,,,82.68,,,90.62
Dividend Payout %,M&M,,,,,,,,19%,,,18%,,,,23%,,,,21%,,,22%,,,11%,,,17%,,,205%,,,54%,,,20%,,,18%,,,21%
Sales,MANKIND,10650,,,,,,,,,,,,,,3334,,,,,,,,,,,,,,,,5865,,,6214,,,7782,,,8749,,,10335
Expenses,MANKIND,8088,,,,,,,,,,,,,,2748,,,,,,,,,,,,,,,,4427,,,4565,,,5791,,,6848,,,7796
Operating Profit,MANKIND,2562,,,,,,,,,,,,,,586,,,,,,,,,,,,,,,,1438,,,1649,,,1991,,,1902,,,2538
OPM %,MANKIND,24%,,,,,,,,,,,,,,18%,,,,,,,,,,,,,,,,25%,,,27%,,,26%,,,22%,,,25%
Other Income,MANKIND,337,,,,,,,,,,,,,,76,,,,,,,,,,,,,,,,122,,,183,,,210,,,141,,,294
Interest,MANKIND,38,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,23,,,21,,,60,,,46,,,35
Depreciation,MANKIND,419,,,,,,,,,,,,,,39,,,,,,,,,,,,,,,,99,,,119,,,167,,,326,,,398
Profit before tax,MANKIND,2443,,,,,,,,,,,,,,621,,,,,,,,,,,,,,,,1438,,,1692,,,1975,,,1671,,,2399
Tax %,MANKIND,,,,,,,,,,,,,,,29%,,,,,,,,,,,,,,,,27%,,,24%,,,26%,,,22%,,,19%
Net Profit,MANKIND,1991,,,,,,,,,,,,,,445,,,,,,,,,,,,,,,,1056,,,1293,,,1453,,,1310,,,1942
EPS in Rs,MANKIND,48.99,,,,,,,,,,,,,,219.33,,,,,,,,,,,,,,,,25.72,,,31.59,,,35.78,,,32.00,,,47.75
Dividend Payout %,MANKIND,,,,,,,,,,,,,,,0%,,,,,,,,,,,,,,,,0%,,,24%,,,0%,,,0%,,,0%
Sales,MAPMYINDIA,391,,,,,,,,,,,,,,,,,,,,,,,,,,,135,,,149,,,152,,,200,,,281,,,379
Expenses,MAPMYINDIA,234,,,,,,,,,,,,,,,,,,,,,,,,,,,110,,,119,,,101,,,114,,,164,,,225
Operating Profit,MAPMYINDIA,157,,,,,,,,,,,,,,,,,,,,,,,,,,,26,,,29,,,51,,,86,,,118,,,155
OPM %,MAPMYINDIA,40%,,,,,,,,,,,,,,,,,,,,,,,,,,,19%,,,20%,,,34%,,,43%,,,42%,,,41%
Other Income,MAPMYINDIA,42,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,,15,,,40,,,42,,,34,,,38
