Ratios,Stockname,Mar 2010,Sep 2010,Mar 2011,Sep 2011,Mar 2012,Dec 2012,Mar 2013,Jun 2013,Dec 2013,Mar 2014,Jun 2014,Sep 2014,Dec 2014,Mar 2015,Jun 2015,Sep 2015,Dec 2015,Mar 2016,Sep 2016,Dec 2016,Mar 2017,Sep 2017,Dec 2017,Mar 2018,Sep 2018,Dec 2018,Mar 2019,Sep 2019,Dec 2019,Mar 2020,Sep 2020,Dec 2020,Mar 2021,Sep 2021,Dec 2021,Mar 2022,Sep 2022,Dec 2022,Mar 2023,Sep 2023,Dec 2023,Mar 2024
Days Payable,ICICIGI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Conversion Cycle,ICICIGI,,,,,,,0,,,0,,,,0,,,,0,,,0,,,0,,,292,,,0,,,0,,,0,,,0,,,0
Working Capital Days,ICICIGI,,,,,,,-529,,,-519,,,,-576,,,,-532,,,-521,,,-720,,,-564,,,-670,,,-704,,,-690,,,-685,,,-664
ROCE %,ICICIGI,,,,,,,18%,,,26%,,,,27%,,,,23%,,,24%,,,17%,,,31%,,,27%,,,27%,,,19%,,,21%,,,23%
Debtor Days,ICICIPRULI,,,,,,,0,,,0,,,,0,,,,3,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
Inventory Days,ICICIPRULI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Days Payable,ICICIPRULI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Conversion Cycle,ICICIPRULI,,,,,,,0,,,0,,,,0,,,,3,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
Working Capital Days,ICICIPRULI,,,,,,,-19,,,-17,,,,-10,,,,-16,,,-2,,,-9,,,-9,,,-5,,,-2,,,-6,,,-6,,,2
ROCE %,ICICIPRULI,,,,,,,46%,,,38%,,,,34%,,,,32%,,,29%,,,29%,,,16%,,,17%,,,14%,,,9%,,,10%,,,9%
Debtor Days,IDEAFORGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,264.0,,,250,,,46,,,113,,,52
Inventory Days,IDEAFORGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,532.0,,,451,,,433,,,639,,,222
Days Payable,IDEAFORGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,,,91,,,66,,,85,,,36
Cash Conversion Cycle,IDEAFORGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,756.0,,,609,,,413,,,667,,,237
Working Capital Days,IDEAFORGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,882.0,,,591,,,132,,,379,,,208
ROCE %,IDEAFORGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-14%,,,48%,,,15%,,,11%
ROE %,IDFCFIRSTB,,,,,,,,,,,,,,,,,,,,,,,,6%,,,-11%,,,-17%,,,3%,,,1%,,,11%,,,10%
Debtor Days,INDIGO,,,,,,,,,,,,,,,,,,,,,3.0,,,4,,,5,,,3,,,5,,,5,,,3,,,3
Inventory Days,INDIGO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Days Payable,INDIGO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Conversion Cycle,INDIGO,,,,,,,,,,,,,,,,,,,,,3.0,,,4,,,5,,,3,,,5,,,5,,,3,,,3
Working Capital Days,INDIGO,,,,,,,,,,,,,,,,,,,,,-72.0,,,-70,,,-64,,,-81,,,-186,,,-127,,,-57,,,-73
ROCE %,INDIGO,,,,,,,,,,,,,,,,,,,,,,,,40%,,,0%,,,5%,,,-14%,,,-13%,,,7%,,,24%
Debtor Days,INDIGOPNTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.0,,,62
Inventory Days,INDIGOPNTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.0,,,91
Days Payable,INDIGOPNTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.0,,,122
Cash Conversion Cycle,INDIGOPNTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,,,31
Working Capital Days,INDIGOPNTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.0,,,41
ROCE %,INDIGOPNTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23%
Debtor Days,INFY,,,,,,,64,,,61,,,,66,,,,66,,,66,,,68,,,65,,,74,,,70,,,68,,,63,,,72
Inventory Days,INFY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Days Payable,INFY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Conversion Cycle,INFY,,,,,,,64,,,61,,,,66,,,,66,,,66,,,68,,,65,,,74,,,70,,,68,,,63,,,72
Working Capital Days,INFY,,,,,,,33,,,15,,,,3,,,,34,,,38,,,50,,,36,,,44,,,38,,,31,,,34,,,59
ROCE %,INFY,,,,,,,37%,,,36%,,,,36%,,,,33%,,,30%,,,30%,,,32%,,,32%,,,35%,,,37%,,,40%,,,40%
Debtor Days,IRCON,,,,,,,79,,,61,,,,72,,,,75,,,56,,,61,,,51,,,37,,,43,,,34,,,30,,,23
Inventory Days,IRCON,,,,,,,111,,,173,,,,,,,,150,,,157,,,152,,,,,,320,,,76,,,,,,,,,8
Days Payable,IRCON,,,,,,,570,,,822,,,,,,,,428,,,406,,,550,,,,,,588,,,477,,,,,,,,,29
Cash Conversion Cycle,IRCON,,,,,,,-380,,,-588,,,,72,,,,-203,,,-193,,,-337,,,51,,,-231,,,-358,,,34,,,30,,,2
Working Capital Days,IRCON,,,,,,,-104,,,-81,,,,-147,,,,-215,,,-175,,,-162,,,-101,,,-85,,,-118,,,-123,,,-42,,,0
ROCE %,IRCON,,,,,,,52%,,,41%,,,,27%,,,,18%,,,14%,,,11%,,,9%,,,12%,,,13%,,,14%,,,16%,,,19%
Debtor Days,IRCTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.0,,,117
Inventory Days,IRCTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,,,16
Days Payable,IRCTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1595.0,,,1484
Cash Conversion Cycle,IRCTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1459.0,,,-1350
Working Capital Days,IRCTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,22
ROCE %,IRCTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54%
ROE %,IREDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8%,,,13%,,,15%,,,15%,,,17%
Debtor Days,ITC,,,,,,,16,,,25,,,,19,,,,18,,,21,,,23,,,30,,,19,,,19,,,15,,,15,,,21
Inventory Days,ITC,,,,,,,227,,,228,,,,212,,,,244,,,185,,,173,,,165,,,187,,,189,,,150,,,148,,,190
Days Payable,ITC,,,,,,,53,,,58,,,,50,,,,63,,,60,,,80,,,74,,,76,,,78,,,61,,,59,,,64
Cash Conversion Cycle,ITC,,,,,,,189,,,195,,,,181,,,,199,,,145,,,115,,,122,,,129,,,129,,,104,,,105,,,146
Working Capital Days,ITC,,,,,,,-5,,,9,,,,-4,,,,52,,,45,,,31,,,32,,,35,,,36,,,31,,,20,,,38
ROCE %,ITC,,,,,,,51%,,,50%,,,,47%,,,,40%,,,36%,,,34%,,,34%,,,32%,,,28%,,,33%,,,39%,,,37%
Debtor Days,JIOFIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.0,,,3
Inventory Days,JIOFIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Days Payable,JIOFIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Conversion Cycle,JIOFIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.0,,,3
Working Capital Days,JIOFIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3644.0,,,4
ROCE %,JIOFIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2%
Debtor Days,JUBLFOOD,,,,,,,2,,,2,,,,2,,,,2,,,2,,,2,,,3,,,2,,,2,,,2,,,2,,,17
Inventory Days,JUBLFOOD,,,,,,,24,,,27,,,,30,,,,35,,,35,,,31,,,32,,,35,,,67,,,59,,,52,,,112
Days Payable,JUBLFOOD,,,,,,,131,,,140,,,,168,,,,186,,,182,,,185,,,173,,,166,,,268,,,198,,,164,,,255
Cash Conversion Cycle,JUBLFOOD,,,,,,,-105,,,-111,,,,-136,,,,-150,,,-144,,,-153,,,-139,,,-129,,,-199,,,-137,,,-110,,,-126
Working Capital Days,JUBLFOOD,,,,,,,-40,,,-41,,,,-49,,,,-43,,,-43,,,-44,,,-42,,,-39,,,-54,,,-38,,,-34,,,-21
ROCE %,JUBLFOOD,,,,,,,54%,,,37%,,,,27%,,,,21%,,,13%,,,34%,,,44%,,,30%,,,16%,,,21%,,,16%,,,11%
Debtor Days,KALYANKJIL,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,5,,,8,,,5,,,4,,,6,,,6
Inventory Days,KALYANKJIL,,,,,,,,,,,,,,,,,,,,,,,,208.0,,,200,,,205,,,272,,,232,,,216,,,191
Days Payable,KALYANKJIL,,,,,,,,,,,,,,,,,,,,,,,,31.0,,,19,,,24,,,35,,,26,,,37,,,45
Cash Conversion Cycle,KALYANKJIL,,,,,,,,,,,,,,,,,,,,,,,,184.0,,,187,,,189,,,241,,,210,,,185,,,153
Working Capital Days,KALYANKJIL,,,,,,,,,,,,,,,,,,,,,,,,121.0,,,123,,,122,,,157,,,146,,,124,,,96
ROCE %,KALYANKJIL,,,,,,,,,,,,,,,,,,,,,,,,,,,7%,,,11%,,,7%,,,9%,,,13%,,,14%
Debtor Days,KAYNES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.0,,,106,,,102,,,74,,,72
Inventory Days,KAYNES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,228.0,,,209,,,167,,,191,,,150
Days Payable,KAYNES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139.0,,,122,,,121,,,103,,,99
Cash Conversion Cycle,KAYNES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182.0,,,193,,,148,,,162,,,123
Working Capital Days,KAYNES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.0,,,156,,,127,,,147,,,126
ROCE %,KAYNES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13%,,,26%,,,22%,,,15%
Debtor Days,KEI,,,,,,,,,,,,,,85.0,,,,88,,,114,,,108,,,94,,,102,,,118,,,89,,,73,,,68
Inventory Days,KEI,,,,,,,,,,,,,,109.0,,,,95,,,114,,,97,,,95,,,103,,,102,,,96,,,78,,,81
Days Payable,KEI,,,,,,,,,,,,,,119.0,,,,97,,,110,,,110,,,139,,,139,,,99,,,68,,,53,,,61
Cash Conversion Cycle,KEI,,,,,,,,,,,,,,75.0,,,,86,,,119,,,95,,,49,,,66,,,121,,,117,,,98,,,88
Working Capital Days,KEI,,,,,,,,,,,,,,70.0,,,,71,,,103,,,92,,,52,,,81,,,118,,,102,,,87,,,77
ROCE %,KEI,,,,,,,,,,,,,,,,,,28%,,,23%,,,23%,,,29%,,,28%,,,21%,,,24%,,,26%,,,27%
ROE %,KOTAKBANK,,,,,,,16%,,,14%,,,,15%,,,,12%,,,14%,,,14%,,,13%,,,14%,,,13%,,,13%,,,14%,,,15%
Debtor Days,KPIGREEN,,,,,,,,,,,,,,,,,,,,,,,,,,,143.0,,,175,,,178,,,58,,,83,,,152
Inventory Days,KPIGREEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,227
Days Payable,KPIGREEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,284
Cash Conversion Cycle,KPIGREEN,,,,,,,,,,,,,,,,,,,,,,,,,,,143.0,,,175,,,178,,,58,,,83,,,96
Working Capital Days,KPIGREEN,,,,,,,,,,,,,,,,,,,,,,,,,,,404.0,,,67,,,282,,,160,,,76,,,244
ROCE %,KPIGREEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11%,,,16%,,,20%,,,25%,,,22%
Debtor Days,KPITTECH,,,,,,,,,,,,,,,,,,,,,,,,,,,337,,,76,,,55,,,56,,,64,,,56
Inventory Days,KPITTECH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Days Payable,KPITTECH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Conversion Cycle,KPITTECH,,,,,,,,,,,,,,,,,,,,,,,,,,,337,,,76,,,55,,,56,,,64,,,56
Working Capital Days,KPITTECH,,,,,,,,,,,,,,,,,,,,,,,,,,,216,,,37,,,-4,,,-23,,,-17,,,-18
ROCE %,KPITTECH,,,,,,,,,,,,,,,,,,,,,,,,,,,20%,,,18%,,,14%,,,25%,,,30%,,,38%
Debtor Days,KSCL,,,,,,,35.0,,,24,,,,37,,,,39,,,44,,,38,,,38,,,46,,,37,,,42,,,46,,,36
Inventory Days,KSCL,,,,,,,568.0,,,484,,,,411,,,,462,,,399,,,386,,,483,,,485,,,486,,,517,,,464,,,467
Days Payable,KSCL,,,,,,,288.0,,,223,,,,128,,,,198,,,270,,,192,,,188,,,203,,,242,,,156,,,150,,,155
Cash Conversion Cycle,KSCL,,,,,,,316.0,,,284,,,,320,,,,304,,,174,,,233,,,334,,,329,,,281,,,403,,,360,,,347
Working Capital Days,KSCL,,,,,,,27.0,,,24,,,,74,,,,96,,,56,,,75,,,95,,,126,,,130,,,175,,,123,,,229
ROCE %,KSCL,,,,,,,,,,48%,,,,47%,,,,21%,,,15%,,,21%,,,20%,,,24%,,,27%,,,16%,,,17%,,,25%
Debtor Days,LALPATHLAB,,,,,,,16,,,16,,,,17,,,,17,,,17,,,14,,,16,,,14,,,15,,,15,,,13,,,13
Inventory Days,LALPATHLAB,,,,,,,,,,,,,,37,,,,31,,,33,,,44,,,40,,,70,,,39,,,38,,,28,,,30
Days Payable,LALPATHLAB,,,,,,,,,,,,,,90,,,,89,,,97,,,106,,,111,,,144,,,132,,,107,,,127,,,151
Cash Conversion Cycle,LALPATHLAB,,,,,,,16,,,16,,,,-35,,,,-42,,,-47,,,-47,,,-55,,,-60,,,-78,,,-54,,,-87,,,-108
Working Capital Days,LALPATHLAB,,,,,,,-39,,,-26,,,,-9,,,,27,,,19,,,17,,,0,,,-19,,,-17,,,-14,,,-19,,,-23
ROCE %,LALPATHLAB,,,,,,,58%,,,60%,,,,48%,,,,47%,,,43%,,,38%,,,35%,,,32%,,,33%,,,29%,,,18%,,,25%
Debtor Days,LATENTVIEW,,,,,,,68.0,,,60,,,,,,,,,,,,,,,,,64.0,,,62,,,73,,,75,,,67,,,64
Inventory Days,LATENTVIEW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Days Payable,LATENTVIEW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Conversion Cycle,LATENTVIEW,,,,,,,68.0,,,60,,,,,,,,,,,,,,,,,64.0,,,62,,,73,,,75,,,67,,,64
Working Capital Days,LATENTVIEW,,,,,,,154.0,,,122,,,,,,,,,,,,,,,,,70.0,,,79,,,82,,,88,,,80,,,144
ROCE %,LATENTVIEW,,,,,,,,,,71%,,,,,,,,,,,,,,,,,,,,25%,,,27%,,,17%,,,17%,,,15%
Debtor Days,LT,,,,,,,113,,,113,,,,119,,,,94,,,96,,,101,,,99,,,102,,,113,,,108,,,89,,,81
Inventory Days,LT,,,,,,,72,,,69,,,,76,,,,51,,,41,,,45,,,51,,,44,,,51,,,44,,,41,,,32
Days Payable,LT,,,,,,,251,,,261,,,,288,,,,283,,,301,,,349,,,340,,,336,,,401,,,378,,,302,,,255
Cash Conversion Cycle,LT,,,,,,,-66,,,-78,,,,-92,,,,-138,,,-164,,,-203,,,-190,,,-190,,,-236,,,-227,,,-172,,,-143
Working Capital Days,LT,,,,,,,92,,,88,,,,78,,,,98,,,98,,,104,,,99,,,114,,,103,,,72,,,65,,,31
ROCE %,LT,,,,,,,12%,,,12%,,,,10%,,,,11%,,,11%,,,14%,,,13%,,,12%,,,10%,,,10%,,,12%,,,13%
Debtor Days,LTIM,,,,,,,70,,,69,,,,80,,,,73,,,66,,,70,,,71,,,78,,,61,,,64,,,62,,,59
Inventory Days,LTIM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Days Payable,LTIM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Conversion Cycle,LTIM,,,,,,,70,,,69,,,,80,,,,73,,,66,,,70,,,71,,,78,,,61,,,64,,,62,,,59
Working Capital Days,LTIM,,,,,,,50,,,42,,,,72,,,,52,,,43,,,60,,,53,,,47,,,38,,,40,,,48,,,40
ROCE %,LTIM,,,,,,,52%,,,75%,,,,48%,,,,47%,,,46%,,,42%,,,47%,,,37%,,,37%,,,48%,,,36%,,,31%
Debtor Days,LTTS,,,,,,,,,,,,,,96.0,,,,86,,,80,,,94,,,76,,,90,,,83,,,94,,,89,,,82
Inventory Days,LTTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Days Payable,LTTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Conversion Cycle,LTTS,,,,,,,,,,,,,,96.0,,,,86,,,80,,,94,,,76,,,90,,,83,,,94,,,89,,,82
Working Capital Days,LTTS,,,,,,,,,,,,,,67.0,,,,41,,,60,,,77,,,57,,,68,,,49,,,52,,,14,,,43
ROCE %,LTTS,,,,,,,,,,,,,,,,,,43%,,,41%,,,38%,,,45%,,,43%,,,27%,,,31%,,,36%,,,34%
Debtor Days,LXCHEM,,,,,,,,,,,,,,64.0,,,,67,,,79,,,86,,,76,,,86,,,90,,,79,,,75,,,74
Inventory Days,LXCHEM,,,,,,,,,,,,,,37.0,,,,57,,,37,,,55,,,57,,,51,,,63,,,64,,,58,,,54
Days Payable,LXCHEM,,,,,,,,,,,,,,52.0,,,,67,,,85,,,81,,,105,,,138,,,148,,,122,,,92,,,145
Cash Conversion Cycle,LXCHEM,,,,,,,,,,,,,,49.0,,,,56,,,30,,,60,,,28,,,-1,,,5,,,21,,,41,,,-16
Working Capital Days,LXCHEM,,,,,,,,,,,,,,65.0,,,,66,,,36,,,65,,,43,,,25,,,27,,,58,,,66,,,24
ROCE %,LXCHEM,,,,,,,,,,,,,,,,,,12%,,,22%,,,25%,,,19%,,,12%,,,20%,,,26%,,,12%,,,9%
Debtor Days,M&M,,,,,,,28,,,28,,,,28,,,,28,,,31,,,34,,,30,,,34,,,30,,,26,,,21,,,20
Inventory Days,M&M,,,,,,,73,,,68,,,,72,,,,74,,,64,,,64,,,74,,,106,,,91,,,82,,,83,,,81
Days Payable,M&M,,,,,,,104,,,96,,,,97,,,,108,,,107,,,125,,,127,,,142,,,147,,,134,,,118,,,112
Cash Conversion Cycle,M&M,,,,,,,-3,,,0,,,,3,,,,-6,,,-11,,,-27,,,-23,,,-3,,,-26,,,-27,,,-13,,,-11
Working Capital Days,M&M,,,,,,,25,,,30,,,,31,,,,31,,,42,,,37,,,23,,,29,,,15,,,95,,,89,,,87
ROCE %,M&M,,,,,,,15%,,,14%,,,,11%,,,,13%,,,12%,,,13%,,,12%,,,7%,,,8%,,,11%,,,13%,,,14%
Debtor Days,MANKIND,,,,,,,,,,,,,,22.0,,,,,,,,,,,,,,,,33.0,,,19,,,18,,,24,,,30
Inventory Days,MANKIND,,,,,,,,,,,,,,166.0,,,,,,,,,,,,,,,,175.0,,,243,,,265,,,188,,,179
Days Payable,MANKIND,,,,,,,,,,,,,,71.0,,,,,,,,,,,,,,,,145.0,,,137,,,162,,,126,,,127
Cash Conversion Cycle,MANKIND,,,,,,,,,,,,,,117.0,,,,,,,,,,,,,,,,63.0,,,125,,,121,,,86,,,82
Working Capital Days,MANKIND,,,,,,,,,,,,,,56.0,,,,,,,,,,,,,,,,35.0,,,43,,,62,,,45,,,41
ROCE %,MANKIND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37%,,,32%,,,22%,,,26%
Debtor Days,MAPMYINDIA,,,,,,,,,,,,,,,,,,,,,,,,,,,64.0,,,76,,,68,,,79,,,76,,,101
Inventory Days,MAPMYINDIA,,,,,,,,,,,,,,,,,,,,,,,,,,,86.0,,,119,,,74,,,191,,,140,,,71
Days Payable,MAPMYINDIA,,,,,,,,,,,,,,,,,,,,,,,,,,,82.0,,,152,,,99,,,120,,,99,,,144
Cash Conversion Cycle,MAPMYINDIA,,,,,,,,,,,,,,,,,,,,,,,,,,,69.0,,,44,,,43,,,150,,,116,,,28
Working Capital Days,MAPMYINDIA,,,,,,,,,,,,,,,,,,,,,,,,,,,32.0,,,38,,,3,,,70,,,25,,,55
ROCE %,MAPMYINDIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10%,,,19%,,,21%,,,25%,,,26%
Debtor Days,MARICO,,,,,,,16,,,17,,,,11,,,,15,,,15,,,20,,,26,,,27,,,18,,,25,,,38,,,40
Inventory Days,MARICO,,,,,,,173,,,151,,,,139,,,,110,,,193,,,190,,,147,,,157,,,108,,,106,,,94,,,116
Days Payable,MARICO,,,,,,,96,,,95,,,,79,,,,80,,,107,,,103,,,98,,,108,,,109,,,101,,,112,,,137
Cash Conversion Cycle,MARICO,,,,,,,93,,,73,,,,71,,,,46,,,101,,,106,,,74,,,76,,,17,,,30,,,20,,,19
Working Capital Days,MARICO,,,,,,,26,,,9,,,,29,,,,10,,,38,,,54,,,43,,,41,,,6,,,20,,,21,,,30
ROCE %,MARICO,,,,,,,24%,,,29%,,,,38%,,,,44%,,,45%,,,42%,,,42%,,,43%,,,43%,,,43%,,,42%,,,43%
Debtor Days,MARUTI,,,,,,,13,,,12,,,,8,,,,8,,,6,,,7,,,10,,,10,,,7,,,8,,,10,,,12
Inventory Days,MARUTI,,,,,,,21,,,20,,,,28,,,,30,,,25,,,21,,,20,,,22,,,22,,,20,,,23,,,19
Days Payable,MARUTI,,,,,,,47,,,57,,,,57,,,,70,,,65,,,70,,,59,,,51,,,73,,,54,,,58,,,62
Cash Conversion Cycle,MARUTI,,,,,,,-14,,,-25,,,,-20,,,,-32,,,-33,,,-42,,,-29,,,-20,,,-44,,,-26,,,-25,,,-31
Working Capital Days,MARUTI,,,,,,,-7,,,-18,,,,-26,,,,-27,,,-33,,,-40,,,-29,,,-19,,,-47,,,-29,,,-27,,,-26
ROCE %,MARUTI,,,,,,,15%,,,16%,,,,19%,,,,23%,,,24%,,,24%,,,19%,,,9%,,,11%,,,6%,,,16%,,,22%
Debtor Days,MAZDOCK,,,,,,,,,,,,,,76.0,,,,82,,,78,,,91,,,117,,,107,,,87,,,64,,,47,,,71
Inventory Days,MAZDOCK,,,,,,,,,,,,,,3239.0,,,,622,,,782,,,559,,,533,,,688,,,1142,,,1044,,,605,,,410
Days Payable,MAZDOCK,,,,,,,,,,,,,,124.0,,,,160,,,174,,,353,,,410,,,704,,,1234,,,836,,,366,,,321
Cash Conversion Cycle,MAZDOCK,,,,,,,,,,,,,,3191.0,,,,544,,,685,,,297,,,240,,,91,,,-4,,,272,,,285,,,161
Working Capital Days,MAZDOCK,,,,,,,,,,,,,,-576.0,,,,-575,,,-608,,,-431,,,-444,,,-311,,,-606,,,-645,,,-528,,,-426
ROCE %,MAZDOCK,,,,,,,,,,,,,,,,,,34%,,,30%,,,23%,,,27%,,,24%,,,23%,,,21%,,,33%,,,44%
Debtor Days,METROBRAND,,,,,,,,,,1.0,,,,1,,,,1,,,2,,,2,,,3,,,2,,,10,,,6,,,4,,,6
Inventory Days,METROBRAND,,,,,,,,,,196.0,,,,215,,,,219,,,219,,,207,,,234,,,221,,,295,,,278,,,253,,,266
Days Payable,METROBRAND,,,,,,,,,,77.0,,,,85,,,,77,,,86,,,104,,,127,,,107,,,210,,,140,,,113,,,96
Cash Conversion Cycle,METROBRAND,,,,,,,,,,120.0,,,,131,,,,144,,,134,,,105,,,110,,,117,,,95,,,144,,,143,,,176
Working Capital Days,METROBRAND,,,,,,,,,,54.0,,,,73,,,,70,,,57,,,47,,,56,,,57,,,48,,,59,,,59,,,186
ROCE %,METROBRAND,,,,,,,,,,,,,,40%,,,,35%,,,32%,,,40%,,,37%,,,25%,,,10%,,,20%,,,25%,,,20%
Debtor Days,MOLDTECH,,,,,,,84,,,88,,,,96,,,,107,,,93,,,86,,,80,,,72,,,72,,,81,,,82,,,70
Inventory Days,MOLDTECH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Days Payable,MOLDTECH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Conversion Cycle,MOLDTECH,,,,,,,84,,,88,,,,96,,,,107,,,93,,,86,,,80,,,72,,,72,,,81,,,82,,,70
Working Capital Days,MOLDTECH,,,,,,,64,,,72,,,,79,,,,116,,,99,,,101,,,120,,,103,,,119,,,107,,,72,,,69
ROCE %,MOLDTECH,,,,,,,12%,,,15%,,,,30%,,,,21%,,,20%,,,17%,,,36%,,,27%,,,24%,,,26%,,,42%,,,31%
Debtor Days,MOLDTKPAC,,,,,,,68,,,63,,,,59,,,,75,,,74,,,89,,,62,,,48,,,69,,,83,,,62,,,71
Inventory Days,MOLDTKPAC,,,,,,,83,,,73,,,,64,,,,65,,,87,,,115,,,82,,,89,,,113,,,108,,,83,,,95
Days Payable,MOLDTKPAC,,,,,,,40,,,45,,,,23,,,,39,,,35,,,40,,,33,,,32,,,51,,,36,,,33,,,31
Cash Conversion Cycle,MOLDTKPAC,,,,,,,112,,,91,,,,99,,,,101,,,126,,,163,,,110,,,106,,,130,,,155,,,112,,,135
Working Capital Days,MOLDTKPAC,,,,,,,76,,,64,,,,71,,,,86,,,90,,,124,,,73,,,69,,,86,,,116,,,84,,,108
ROCE %,MOLDTKPAC,,,,,,,14%,,,19%,,,,25%,,,,26%,,,24%,,,23%,,,21%,,,21%,,,23%,,,23%,,,20%,,,14%
Debtor Days,MOTHERSON,,,,,,,42,,,39,,,,32,,,,46,,,40,,,36,,,35,,,31,,,36,,,38,,,39,,,58
Inventory Days,MOTHERSON,,,,,,,58,,,62,,,,63,,,,37,,,44,,,43,,,46,,,54,,,56,,,64,,,63,,,61
Days Payable,MOTHERSON,,,,,,,70,,,77,,,,82,,,,84,,,103,,,96,,,106,,,108,,,125,,,113,,,114,,,152
Cash Conversion Cycle,MOTHERSON,,,,,,,30,,,24,,,,13,,,,-1,,,-20,,,-17,,,-24,,,-23,,,-33,,,-11,,,-11,,,-33
Working Capital Days,MOTHERSON,,,,,,,9,,,1,,,,-1,,,,4,,,4,,,6,,,2,,,-7,,,-9,,,-0,,,2,,,-2
ROCE %,MOTHERSON,,,,,,,15%,,,23%,,,,25%,,,,24%,,,21%,,,18%,,,15%,,,10%,,,7%,,,6%,,,9%,,,14%
Debtor Days,MTARTECH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.0,,,114,,,154,,,133,,,92
Inventory Days,MTARTECH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,382.0,,,467,,,535,,,524,,,420
