Balance Sheet,Stockname,Mar 2010,Sep 2010,Mar 2011,Sep 2011,Mar 2012,Dec 2012,Mar 2013,Jun 2013,Dec 2013,Mar 2014,Jun 2014,Sep 2014,Dec 2014,Mar 2015,Jun 2015,Sep 2015,Dec 2015,Mar 2016,Sep 2016,Dec 2016,Mar 2017,Sep 2017,Dec 2017,Mar 2018,Sep 2018,Dec 2018,Mar 2019,Sep 2019,Dec 2019,Mar 2020,Sep 2020,Dec 2020,Mar 2021,Sep 2021,Dec 2021,Mar 2022,Sep 2022,Dec 2022,Mar 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024
Other Liabilities,KALYANKJIL,,,,,,,,,,,,,,,,,,,,,,,,2503.0,,,2268.0,,,2417.0,,,1958.0,,,1779.0,,,2783.0,,,4142.0,
Total Liabilities,KALYANKJIL,,,,,,,,,,,,,,,,,,,,,,,,8551.0,,,8060.0,,,8219.0,,,8865.0,,,8945.0,,,10713.0,,,12818.0,
Fixed Assets,KALYANKJIL,,,,,,,,,,,,,,,,,,,,,,,,1879.0,,,2152.0,,,2167.0,,,1899.0,,,1921.0,,,1903.0,,,2299.0,
CWIP,KALYANKJIL,,,,,,,,,,,,,,,,,,,,,,,,18.0,,,22.0,,,24.0,,,53.0,,,2.0,,,20.0,,,49.0,
Investments,KALYANKJIL,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,3.0,,,0.0,,,0.0,,,1.0,,,4.0,,,4.0,
Other Assets,KALYANKJIL,,,,,,,,,,,,,,,,,,,,,,,,6654.0,,,5884.0,,,6027.0,,,6913.0,,,7021.0,,,8785.0,,,10465.0,
Total Assets,KALYANKJIL,,,,,,,,,,,,,,,,,,,,,,,,8551.0,,,8060.0,,,8219.0,,,8865.0,,,8945.0,,,10713.0,,,12818.0,
Equity Capital,KAYNES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,7.0,,,46.0,,,58.0,,,64.0,
Reserves,KAYNES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.0,,,131.0,,,156.0,,,901.0,,,2423.0,
Borrowings,KAYNES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153.0,,,141.0,,,189.0,,,155.0,,,323.0,
Other Liabilities,KAYNES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.0,,,141.0,,,231.0,,,305.0,,,456.0,
Total Liabilities,KAYNES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,378.0,,,419.0,,,622.0,,,1419.0,,,3265.0,
Fixed Assets,KAYNES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.0,,,72.0,,,113.0,,,132.0,,,348.0,
CWIP,KAYNES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,13.0,,,8.0,,,29.0,,,77.0,
Investments,KAYNES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,2.0,,,2.0,,,3.0,,,132.0,
Other Assets,KAYNES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,299.0,,,333.0,,,499.0,,,1254.0,,,2709.0,
Total Assets,KAYNES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,378.0,,,419.0,,,622.0,,,1419.0,,,3265.0,
Equity Capital,KEI,,,,,,,,,,,,,,15.0,,,,15.0,,,16.0,,,16.0,,,16.0,,,18.0,,,18.0,,,18.0,,,18.0,,,18.0,
Reserves,KEI,,,,,,,,,,,,,,288.0,,,,352.0,,,446.0,,,589.0,,,762.0,,,1489.0,,,1756.0,,,2118.0,,,2571.0,,,3130.0,
Borrowings,KEI,,,,,,,,,,,,,,452.0,,,,498.0,,,813.0,,,842.0,,,599.0,,,367.0,,,333.0,,,355.0,,,162.0,,,166.0,
Other Liabilities,KEI,,,,,,,,,,,,,,588.0,,,,599.0,,,622.0,,,773.0,,,1387.0,,,1395.0,,,902.0,,,1036.0,,,1019.0,,,1342.0,
Total Liabilities,KEI,,,,,,,,,,,,,,1345.0,,,,1464.0,,,1896.0,,,2220.0,,,2764.0,,,3269.0,,,3008.0,,,3527.0,,,3770.0,,,4656.0,
Fixed Assets,KEI,,,,,,,,,,,,,,298.0,,,,328.0,,,405.0,,,407.0,,,489.0,,,554.0,,,537.0,,,531.0,,,567.0,,,770.0,
CWIP,KEI,,,,,,,,,,,,,,4.0,,,,29.0,,,3.0,,,23.0,,,32.0,,,11.0,,,7.0,,,17.0,,,15.0,,,121.0,
Investments,KEI,,,,,,,,,,,,,,3.0,,,,3.0,,,3.0,,,3.0,,,2.0,,,1.0,,,1.0,,,2.0,,,1.0,,,2.0,
Other Assets,KEI,,,,,,,,,,,,,,1039.0,,,,1103.0,,,1485.0,,,1787.0,,,2242.0,,,2703.0,,,2463.0,,,2978.0,,,3187.0,,,3764.0,
Total Assets,KEI,,,,,,,,,,,,,,1345.0,,,,1464.0,,,1896.0,,,2220.0,,,2764.0,,,3269.0,,,3008.0,,,3527.0,,,3770.0,,,4656.0,
Equity Capital,KOTAKBANK,,,,,,,373.0,,,385.0,,,,386.0,,,,917.0,,,920.0,,,953.0,,,954.0,,,957.0,,,991.0,,,992.0,,,993.0,,,994.0,
Reserves,KOTAKBANK,,,,,,,14894.0,,,18699.0,,,,21770.0,,,,32447.0,,,37572.0,,,49535.0,,,56827.0,,,65680.0,,,83348.0,,,95673.0,,,110821.0,,,128978.0,
Borrowings,KOTAKBANK,,,,,,,85561.0,,,85937.0,,,,104258.0,,,,179679.0,,,205230.0,,,249840.0,,,291763.0,,,326477.0,,,327110.0,,,365747.0,,,418807.0,,,520374.0,
Other Liabilities,KOTAKBANK,,,,,,,15006.0,,,17176.0,,,,22049.0,,,,27761.0,,,32465.0,,,37392.0,,,45626.0,,,50059.0,,,67405.0,,,84086.0,,,89809.0,,,117321.0,
Total Liabilities,KOTAKBANK,,,,,,,115835.0,,,122197.0,,,,148464.0,,,,240804.0,,,276188.0,,,337720.0,,,395171.0,,,443173.0,,,478854.0,,,546498.0,,,620430.0,,,767667.0,
Fixed Assets,KOTAKBANK,,,,,,,620.0,,,1264.0,,,,1385.0,,,,1761.0,,,1759.0,,,2543.0,,,2697.0,,,2675.0,,,2554.0,,,2723.0,,,3075.0,,,3510.0,
CWIP,KOTAKBANK,,,,,,,0.0,,,0.0,,,,0.0,,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,
Investments,KOTAKBANK,,,,,,,40907.0,,,38791.0,,,,45589.0,,,,70274.0,,,68462.0,,,90977.0,,,103487.0,,,111197.0,,,156946.0,,,164529.0,,,195338.0,,,246446.0,
Other Assets,KOTAKBANK,,,,,,,74308.0,,,82142.0,,,,101490.0,,,,168769.0,,,205967.0,,,244201.0,,,288987.0,,,329301.0,,,319355.0,,,379245.0,,,422017.0,,,517711.0,
Total Assets,KOTAKBANK,,,,,,,115835.0,,,122197.0,,,,148464.0,,,,240804.0,,,276188.0,,,337720.0,,,395171.0,,,443173.0,,,478854.0,,,546498.0,,,620430.0,,,767667.0,
Equity Capital,KPIGREEN,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,,,18.0,,,18.0,,,18.0,,,36.0,,,60.0,
Reserves,KPIGREEN,,,,,,,,,,,,,,,,,,,,,,,,,,,81.0,,,80.0,,,102.0,,,136.0,,,222.0,,,775.0,
Borrowings,KPIGREEN,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,,,139.0,,,240.0,,,446.0,,,676.0,,,1036.0,
Other Liabilities,KPIGREEN,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,,,61.0,,,49.0,,,177.0,,,322.0,,,564.0,
Total Liabilities,KPIGREEN,,,,,,,,,,,,,,,,,,,,,,,,,,,161.0,,,298.0,,,409.0,,,777.0,,,1255.0,,,2436.0,
Fixed Assets,KPIGREEN,,,,,,,,,,,,,,,,,,,,,,,,,,,84.0,,,213.0,,,244.0,,,482.0,,,801.0,,,979.0,
CWIP,KPIGREEN,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,,,1.0,,,21.0,,,31.0,,,0.0,,,101.0,
Investments,KPIGREEN,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,0.0,,,0.0,,,2.0,,,0.0,
Other Assets,KPIGREEN,,,,,,,,,,,,,,,,,,,,,,,,,,,59.0,,,85.0,,,144.0,,,264.0,,,453.0,,,1355.0,
Total Assets,KPIGREEN,,,,,,,,,,,,,,,,,,,,,,,,,,,161.0,,,298.0,,,409.0,,,777.0,,,1255.0,,,2436.0,
Equity Capital,KPITTECH,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,268.0,,,269.0,,,269.0,,,270.0,,,270.0,,,271.0,
Reserves,KPITTECH,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,691.0,,,780.0,,,938.0,,,1040.0,,,1381.0,,,1875.0,
Borrowings,KPITTECH,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,132.0,,,204.0,,,230.0,,,227.0,,,287.0,,,329.0,
Other Liabilities,KPITTECH,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,582.0,,,384.0,,,531.0,,,799.0,,,1402.0,,,1624.0,
Total Liabilities,KPITTECH,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,1674.0,,,1637.0,,,1968.0,,,2336.0,,,3341.0,,,4098.0,
Fixed Assets,KPITTECH,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,420.0,,,526.0,,,577.0,,,641.0,,,1684.0,,,1915.0,
CWIP,KPITTECH,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,1.0,,,5.0,,,12.0,,,0.0,,,33.0,,,58.0,
Investments,KPITTECH,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,50.0,,,9.0,,,127.0,,,129.0,,,64.0,,,94.0,
Other Assets,KPITTECH,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,1204.0,,,1096.0,,,1251.0,,,1566.0,,,1559.0,,,2030.0,
Total Assets,KPITTECH,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,1674.0,,,1637.0,,,1968.0,,,2336.0,,,3341.0,,,4098.0,
Equity Capital,KSCL,,,,,,,14.0,,,14.0,,,,14.0,,,,14.0,,,14.0,,,13.0,,,13.0,,,12.0,,,12.0,,,12.0,,,11.0,,,10.0,
Reserves,KSCL,,,,,,,331.0,,,502.0,,,,741.0,,,,913.0,,,1001.0,,,999.0,,,994.0,,,947.0,,,1232.0,,,1269.0,,,1354.0,,,1222.0,
Borrowings,KSCL,,,,,,,3.0,,,1.0,,,,1.0,,,,2.0,,,5.0,,,3.0,,,7.0,,,6.0,,,2.0,,,1.0,,,1.0,,,0.0,
Other Liabilities,KSCL,,,,,,,520.0,,,512.0,,,,402.0,,,,432.0,,,509.0,,,449.0,,,536.0,,,612.0,,,714.0,,,596.0,,,683.0,,,819.0,
Total Liabilities,KSCL,,,,,,,868.0,,,1028.0,,,,1158.0,,,,1361.0,,,1528.0,,,1465.0,,,1550.0,,,1577.0,,,1960.0,,,1877.0,,,2048.0,,,2052.0,
Fixed Assets,KSCL,,,,,,,137.0,,,144.0,,,,161.0,,,,202.0,,,200.0,,,189.0,,,240.0,,,250.0,,,246.0,,,242.0,,,261.0,,,298.0,
CWIP,KSCL,,,,,,,8.0,,,12.0,,,,62.0,,,,20.0,,,34.0,,,37.0,,,38.0,,,18.0,,,31.0,,,43.0,,,133.0,,,134.0,
Investments,KSCL,,,,,,,132.0,,,278.0,,,,295.0,,,,506.0,,,657.0,,,623.0,,,510.0,,,384.0,,,599.0,,,517.0,,,562.0,,,476.0,
Other Assets,KSCL,,,,,,,590.0,,,595.0,,,,641.0,,,,633.0,,,637.0,,,615.0,,,763.0,,,925.0,,,1085.0,,,1075.0,,,1092.0,,,1144.0,
Total Assets,KSCL,,,,,,,868.0,,,1028.0,,,,1158.0,,,,1361.0,,,1528.0,,,1465.0,,,1550.0,,,1577.0,,,1960.0,,,1877.0,,,2048.0,,,2052.0,
Equity Capital,LALPATHLAB,,,,,,,3.0,,,54.0,,,,55.0,,,,83.0,,,83.0,,,83.0,,,83.0,,,83.0,,,83.0,,,83.0,,,83.0,,,83.0,
Reserves,LALPATHLAB,,,,,,,157.0,,,151.0,,,,260.0,,,,425.0,,,512.0,,,705.0,,,862.0,,,949.0,,,1162.0,,,1418.0,,,1583.0,,,1766.0,
Borrowings,LALPATHLAB,,,,,,,2.0,,,28.0,,,,27.0,,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,150.0,,,533.0,,,420.0,,,247.0,
Other Liabilities,LALPATHLAB,,,,,,,106.0,,,119.0,,,,134.0,,,,118.0,,,95.0,,,128.0,,,145.0,,,341.0,,,265.0,,,309.0,,,297.0,,,357.0,
Total Liabilities,LALPATHLAB,,,,,,,269.0,,,352.0,,,,475.0,,,,625.0,,,690.0,,,916.0,,,1091.0,,,1374.0,,,1661.0,,,2343.0,,,2383.0,,,2454.0,
Fixed Assets,LALPATHLAB,,,,,,,127.0,,,140.0,,,,150.0,,,,166.0,,,152.0,,,208.0,,,209.0,,,413.0,,,447.0,,,1369.0,,,1305.0,,,1228.0,
CWIP,LALPATHLAB,,,,,,,1.0,,,0.0,,,,1.0,,,,4.0,,,18.0,,,10.0,,,3.0,,,11.0,,,10.0,,,15.0,,,5.0,,,6.0,
Investments,LALPATHLAB,,,,,,,55.0,,,9.0,,,,38.0,,,,64.0,,,106.0,,,145.0,,,185.0,,,164.0,,,59.0,,,65.0,,,150.0,,,114.0,
Other Assets,LALPATHLAB,,,,,,,87.0,,,203.0,,,,286.0,,,,391.0,,,414.0,,,554.0,,,694.0,,,786.0,,,1144.0,,,893.0,,,923.0,,,1107.0,
Total Assets,LALPATHLAB,,,,,,,269.0,,,352.0,,,,475.0,,,,625.0,,,690.0,,,916.0,,,1091.0,,,1374.0,,,1661.0,,,2343.0,,,2383.0,,,2454.0,
Equity Capital,LATENTVIEW,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,1.0,,,1.0,,,1.0,,,20.0,,,20.0,,,21.0,
Reserves,LATENTVIEW,,,,,,,14.0,,,34.0,,,,,,,,,,,,,,,,,266.0,,,347.0,,,437.0,,,1006.0,,,1187.0,,,1354.0,
Borrowings,LATENTVIEW,,,,,,,8.0,,,13.0,,,,,,,,,,,,,,,,,36.0,,,33.0,,,52.0,,,26.0,,,21.0,,,24.0,
Other Liabilities,LATENTVIEW,,,,,,,2.0,,,5.0,,,,,,,,,,,,,,,,,21.0,,,17.0,,,30.0,,,48.0,,,34.0,,,57.0,
Total Liabilities,LATENTVIEW,,,,,,,25.0,,,53.0,,,,,,,,,,,,,,,,,324.0,,,398.0,,,519.0,,,1100.0,,,1263.0,,,1456.0,
Fixed Assets,LATENTVIEW,,,,,,,2.0,,,7.0,,,,,,,,,,,,,,,,,37.0,,,35.0,,,30.0,,,29.0,,,23.0,,,28.0,
CWIP,LATENTVIEW,,,,,,,0.0,,,1.0,,,,,,,,,,,,,,,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,
Investments,LATENTVIEW,,,,,,,3.0,,,12.0,,,,,,,,,,,,,,,,,99.0,,,72.0,,,139.0,,,194.0,,,501.0,,,676.0,
Other Assets,LATENTVIEW,,,,,,,20.0,,,33.0,,,,,,,,,,,,,,,,,188.0,,,290.0,,,350.0,,,878.0,,,739.0,,,753.0,
Total Assets,LATENTVIEW,,,,,,,25.0,,,53.0,,,,,,,,,,,,,,,,,324.0,,,398.0,,,519.0,,,1100.0,,,1263.0,,,1456.0,
Equity Capital,LT,,,,,,,123.0,,,185.0,,,,186.0,,,,186.0,,,187.0,,,280.0,,,281.0,,,281.0,,,281.0,,,281.0,,,281.0,,,275.0,
Reserves,LT,,,,,,,33737.0,,,37526.0,,,,40723.0,,,,43994.0,,,50030.0,,,54623.0,,,62094.0,,,66442.0,,,75588.0,,,82127.0,,,89045.0,,,86084.0,
Borrowings,LT,,,,,,,63144.0,,,80846.0,,,,93630.0,,,,88135.0,,,93954.0,,,107524.0,,,125555.0,,,143174.0,,,134629.0,,,125508.0,,,120650.0,,,116322.0,
Other Liabilities,LT,,,,,,,45924.0,,,50324.0,,,,58727.0,,,,61775.0,,,67400.0,,,80812.0,,,90106.0,,,96790.0,,,99597.0,,,111112.0,,,119745.0,,,136412.0,
Total Liabilities,LT,,,,,,,142928.0,,,168881.0,,,,193266.0,,,,194091.0,,,211571.0,,,243240.0,,,278036.0,,,306687.0,,,310095.0,,,319028.0,,,329722.0,,,339094.0,
Fixed Assets,LT,,,,,,,30389.0,,,32397.0,,,,34738.0,,,,14176.0,,,16677.0,,,18580.0,,,21194.0,,,43653.0,,,44319.0,,,42945.0,,,42641.0,,,42964.0,
CWIP,LT,,,,,,,11351.0,,,14179.0,,,,14993.0,,,,10974.0,,,13298.0,,,13443.0,,,13919.0,,,3311.0,,,500.0,,,1250.0,,,3066.0,,,3045.0,
Investments,LT,,,,,,,8768.0,,,8109.0,,,,9612.0,,,,15465.0,,,19753.0,,,15311.0,,,20907.0,,,20047.0,,,39627.0,,,39395.0,,,44798.0,,,45648.0,
Other Assets,LT,,,,,,,92421.0,,,114197.0,,,,133923.0,,,,153475.0,,,161843.0,,,195905.0,,,222016.0,,,239675.0,,,225649.0,,,235438.0,,,239217.0,,,247437.0,
Total Assets,LT,,,,,,,142928.0,,,168881.0,,,,193266.0,,,,194091.0,,,211571.0,,,243240.0,,,278036.0,,,306687.0,,,310095.0,,,319028.0,,,329722.0,,,339094.0,
Equity Capital,LTIM,,,,,,,16.0,,,16.0,,,,16.0,,,,17.0,,,17.0,,,17.0,,,17.0,,,17.0,,,18.0,,,30.0,,,30.0,,,30.0,
Reserves,LTIM,,,,,,,1323.0,,,1594.0,,,,2010.0,,,,2108.0,,,3127.0,,,3843.0,,,4876.0,,,5387.0,,,7286.0,,,14258.0,,,16562.0,,,19988.0,
Borrowings,LTIM,,,,,,,234.0,,,110.0,,,,218.0,,,,55.0,,,0.0,,,0.0,,,0.0,,,912.0,,,798.0,,,258.0,,,1541.0,,,2071.0,
Other Liabilities,LTIM,,,,,,,756.0,,,945.0,,,,734.0,,,,958.0,,,1273.0,,,1477.0,,,1770.0,,,2499.0,,,2604.0,,,6027.0,,,5348.0,,,5456.0,
Total Liabilities,LTIM,,,,,,,2328.0,,,2666.0,,,,2978.0,,,,3137.0,,,4417.0,,,5337.0,,,6664.0,,,8815.0,,,10706.0,,,20572.0,,,23481.0,,,27544.0,
Fixed Assets,LTIM,,,,,,,699.0,,,649.0,,,,683.0,,,,638.0,,,542.0,,,681.0,,,930.0,,,1920.0,,,1906.0,,,3473.0,,,3679.0,,,4981.0,
CWIP,LTIM,,,,,,,142.0,,,57.0,,,,25.0,,,,20.0,,,1.0,,,7.0,,,12.0,,,59.0,,,66.0,,,503.0,,,902.0,,,551.0,
Investments,LTIM,,,,,,,49.0,,,169.0,,,,104.0,,,,43.0,,,941.0,,,1264.0,,,1740.0,,,2219.0,,,3730.0,,,6048.0,,,5458.0,,,8744.0,
Other Assets,LTIM,,,,,,,1438.0,,,1791.0,,,,2166.0,,,,2437.0,,,2934.0,,,3385.0,,,3982.0,,,4617.0,,,5004.0,,,10548.0,,,13442.0,,,13269.0,
Total Assets,LTIM,,,,,,,2328.0,,,2666.0,,,,2978.0,,,,3137.0,,,4417.0,,,5337.0,,,6664.0,,,8815.0,,,10706.0,,,20572.0,,,23481.0,,,27544.0,
Equity Capital,LTTS,,,,,,,,,,,,,,300.0,,,,300.0,,,20.0,,,20.0,,,21.0,,,21.0,,,21.0,,,21.0,,,21.0,,,21.0,
Reserves,LTTS,,,,,,,,,,,,,,2.0,,,,766.0,,,1465.0,,,1916.0,,,2458.0,,,2748.0,,,3452.0,,,4141.0,,,4414.0,,,5306.0,
Borrowings,LTTS,,,,,,,,,,,,,,969.0,,,,196.0,,,102.0,,,70.0,,,70.0,,,30.0,,,480.0,,,477.0,,,454.0,,,659.0,
Other Liabilities,LTTS,,,,,,,,,,,,,,507.0,,,,681.0,,,644.0,,,696.0,,,802.0,,,1504.0,,,1113.0,,,1438.0,,,3295.0,,,2497.0,
Total Liabilities,LTTS,,,,,,,,,,,,,,1778.0,,,,1942.0,,,2232.0,,,2702.0,,,3352.0,,,4303.0,,,5066.0,,,6077.0,,,8184.0,,,8483.0,
Fixed Assets,LTTS,,,,,,,,,,,,,,569.0,,,,621.0,,,614.0,,,709.0,,,780.0,,,1174.0,,,1282.0,,,1283.0,,,1303.0,,,1613.0,
CWIP,LTTS,,,,,,,,,,,,,,0.0,,,,14.0,,,2.0,,,0.0,,,0.0,,,9.0,,,12.0,,,10.0,,,6.0,,,13.0,
Investments,LTTS,,,,,,,,,,,,,,0.0,,,,56.0,,,195.0,,,221.0,,,575.0,,,642.0,,,1515.0,,,1478.0,,,2284.0,,,1493.0,
Other Assets,LTTS,,,,,,,,,,,,,,1208.0,,,,1252.0,,,1421.0,,,1772.0,,,1997.0,,,2479.0,,,2257.0,,,3307.0,,,4590.0,,,5365.0,
Total Assets,LTTS,,,,,,,,,,,,,,1778.0,,,,1942.0,,,2232.0,,,2702.0,,,3352.0,,,4303.0,,,5066.0,,,6077.0,,,8184.0,,,8483.0,
Equity Capital,LXCHEM,,,,,,,,,,,,,,10.0,,,,10.0,,,10.0,,,10.0,,,50.0,,,45.0,,,53.0,,,53.0,,,53.0,,,55.0,
Reserves,LXCHEM,,,,,,,,,,,,,,199.0,,,,225.0,,,295.0,,,369.0,,,400.0,,,382.0,,,982.0,,,1237.0,,,1359.0,,,1742.0,
Borrowings,LXCHEM,,,,,,,,,,,,,,249.0,,,,221.0,,,104.0,,,215.0,,,175.0,,,159.0,,,149.0,,,139.0,,,406.0,,,143.0,
Other Liabilities,LXCHEM,,,,,,,,,,,,,,152.0,,,,176.0,,,240.0,,,300.0,,,389.0,,,484.0,,,654.0,,,820.0,,,595.0,,,887.0,
Total Liabilities,LXCHEM,,,,,,,,,,,,,,610.0,,,,632.0,,,649.0,,,895.0,,,1014.0,,,1069.0,,,1838.0,,,2249.0,,,2412.0,,,2827.0,
Fixed Assets,LXCHEM,,,,,,,,,,,,,,226.0,,,,215.0,,,202.0,,,293.0,,,346.0,,,338.0,,,325.0,,,379.0,,,715.0,,,879.0,
CWIP,LXCHEM,,,,,,,,,,,,,,25.0,,,,40.0,,,61.0,,,30.0,,,31.0,,,67.0,,,148.0,,,374.0,,,447.0,,,444.0,
Investments,LXCHEM,,,,,,,,,,,,,,0.0,,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,3.0,,,5.0,,,23.0,,,126.0,
Other Assets,LXCHEM,,,,,,,,,,,,,,358.0,,,,377.0,,,386.0,,,571.0,,,637.0,,,664.0,,,1361.0,,,1492.0,,,1228.0,,,1378.0,
Total Assets,LXCHEM,,,,,,,,,,,,,,610.0,,,,632.0,,,649.0,,,895.0,,,1014.0,,,1069.0,,,1838.0,,,2249.0,,,2412.0,,,2827.0,
Equity Capital,M&M,,,,,,,295.0,,,295.0,,,,296.0,,,,270.0,,,311.0,,,543.0,,,544.0,,,554.0,,,555.0,,,556.0,,,557.0,,,557.0,
Reserves,M&M,,,,,,,19666.0,,,23012.0,,,,25561.0,,,,26222.0,,,29467.0,,,36232.0,,,39439.0,,,39415.0,,,41027.0,,,46567.0,,,55809.0,,,65633.0,
Borrowings,M&M,,,,,,,28711.0,,,35167.0,,,,37911.0,,,,41553.0,,,48762.0,,,55898.0,,,70848.0,,,82092.0,,,80625.0,,,77605.0,,,92247.0,,,108647.0,
Other Liabilities,M&M,,,,,,,27460.0,,,29415.0,,,,30608.0,,,,31806.0,,,35296.0,,,43696.0,,,51057.0,,,43655.0,,,42762.0,,,47661.0,,,55670.0,,,59884.0,
Total Liabilities,M&M,,,,,,,76131.0,,,87889.0,,,,94376.0,,,,99852.0,,,113835.0,,,136369.0,,,161889.0,,,165716.0,,,164968.0,,,172388.0,,,204283.0,,,234722.0,
Fixed Assets,M&M,,,,,,,18307.0,,,18381.0,,,,19047.0,,,,20585.0,,,20989.0,,,26182.0,,,28983.0,,,29689.0,,,21380.0,,,26018.0,,,27140.0,,,28129.0,
CWIP,M&M,,,,,,,1631.0,,,2191.0,,,,3032.0,,,,2371.0,,,4279.0,,,4269.0,,,4760.0,,,6856.0,,,7873.0,,,6703.0,,,3969.0,,,8039.0,
Investments,M&M,,,,,,,6440.0,,,8082.0,,,,10027.0,,,,11603.0,,,14662.0,,,16018.0,,,18268.0,,,19210.0,,,28778.0,,,30060.0,,,35272.0,,,35208.0,
Other Assets,M&M,,,,,,,49752.0,,,59234.0,,,,62270.0,,,,65293.0,,,73905.0,,,89900.0,,,109878.0,,,109960.0,,,106938.0,,,109607.0,,,137902.0,,,163345.0,
Total Assets,M&M,,,,,,,76131.0,,,87889.0,,,,94376.0,,,,99852.0,,,113835.0,,,136369.0,,,161889.0,,,165716.0,,,164968.0,,,172388.0,,,204283.0,,,234722.0,
Equity Capital,MANKIND,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,40.0,,,40.0,,,40.0,,,40.0,,,40.0,
Reserves,MANKIND,,,,,,,,,,,,,,2035.0,,,,,,,,,,,,,,,,3445.0,,,4682.0,,,6115.0,,,7395.0,,,9323.0,
Borrowings,MANKIND,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,131.0,,,241.0,,,873.0,,,170.0,,,207.0,
Other Liabilities,MANKIND,,,,,,,,,,,,,,968.0,,,,,,,,,,,,,,,,1449.0,,,1397.0,,,2080.0,,,2080.0,,,2313.0,
Total Liabilities,MANKIND,,,,,,,,,,,,,,3022.0,,,,,,,,,,,,,,,,5065.0,,,6360.0,,,9108.0,,,9686.0,,,11883.0,
Fixed Assets,MANKIND,,,,,,,,,,,,,,316.0,,,,,,,,,,,,,,,,1600.0,,,1664.0,,,3588.0,,,4251.0,,,4545.0,
CWIP,MANKIND,,,,,,,,,,,,,,47.0,,,,,,,,,,,,,,,,317.0,,,372.0,,,701.0,,,550.0,,,282.0,
Investments,MANKIND,,,,,,,,,,,,,,959.0,,,,,,,,,,,,,,,,829.0,,,1512.0,,,1109.0,,,1346.0,,,2568.0,
Other Assets,MANKIND,,,,,,,,,,,,,,1700.0,,,,,,,,,,,,,,,,2319.0,,,2811.0,,,3709.0,,,3538.0,,,4488.0,
Total Assets,MANKIND,,,,,,,,,,,,,,3022.0,,,,,,,,,,,,,,,,5065.0,,,6360.0,,,9108.0,,,9686.0,,,11883.0,
Equity Capital,MAPMYINDIA,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,4.0,,,4.0,,,11.0,,,11.0,,,11.0,
Reserves,MAPMYINDIA,,,,,,,,,,,,,,,,,,,,,,,,,,,152.0,,,165.0,,,225.0,,,435.0,,,531.0,,,648.0,
Borrowings,MAPMYINDIA,,,,,,,,,,,,,,,,,,,,,,,,,,,154.0,,,151.0,,,149.0,,,19.0,,,29.0,,,26.0,
Other Liabilities,MAPMYINDIA,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,,,39.0,,,50.0,,,53.0,,,101.0,,,109.0,
Total Liabilities,MAPMYINDIA,,,,,,,,,,,,,,,,,,,,,,,,,,,340.0,,,358.0,,,428.0,,,518.0,,,673.0,,,794.0,
Fixed Assets,MAPMYINDIA,,,,,,,,,,,,,,,,,,,,,,,,,,,44.0,,,41.0,,,33.0,,,43.0,,,49.0,,,61.0,
CWIP,MAPMYINDIA,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,0.0,,,0.0,,,7.0,,,10.0,
Investments,MAPMYINDIA,,,,,,,,,,,,,,,,,,,,,,,,,,,201.0,,,199.0,,,269.0,,,296.0,,,362.0,,,409.0,
